도시,날짜,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,벤젠,톨루엔,자일렌,AQI,AQI등급
Visakhapatnam,2019-05-14,37.06,122.82,5.88,10.67,10.43,5.51,0.69,2.64,19.63,2.03,4.12,0.68,129.0,Moderate
Mumbai,2016-12-26,,,,,,,0.0,,,,,,,
Jorapokhar,2020-03-01,97.24,197.27,24.83,10.2,,9.39,,40.11,38.66,,,,220.0,Poor
Hyderabad,2016-06-21,33.96,,8.94,15.16,24.1,,0.99,6.66,16.7,0.24,1.69,0.18,105.0,Moderate
Patna,2015-10-21,98.72,,42.19,27.44,69.41,,1.63,4.49,10.97,0.29,1.89,0.7,214.0,Poor
Jorapokhar,2018-02-09,,289.1,9.9,10.37,,6.87,0.38,91.04,16.82,,,,145.0,Moderate
Ahmedabad,2015-08-07,48.12,,7.14,20.3,27.45,,7.14,6.77,12.78,1.22,3.39,0.26,173.0,Moderate
Chennai,2017-04-01,34.69,,3.34,9.52,6.97,,0.02,4.96,13.8,0.04,0.0,,60.0,Satisfactory
Ahmedabad,2015-08-17,34.0,,7.41,20.1,27.51,,7.41,9.64,17.17,1.21,1.8,0.15,179.0,Moderate
Patna,2016-01-13,355.4,,118.54,25.68,142.41,,6.21,35.97,17.07,0.58,1.79,1.59,456.0,Severe
Hyderabad,2017-04-16,56.31,172.7,8.75,28.75,8.96,16.17,0.15,14.29,41.88,0.17,1.12,0.29,148.0,Moderate
Ahmedabad,2015-08-29,39.86,,16.98,14.83,31.81,,16.98,10.02,96.83,0.0,0.01,0.02,301.0,Very Poor
Ahmedabad,2015-09-10,50.24,,9.46,12.31,21.77,,9.46,11.63,13.61,0.0,3.42,0.29,226.0,Poor
Jorapokhar,2018-11-16,,,,,,,,,,,,,414.0,Severe
Ahmedabad,2015-09-18,36.33,,7.68,12.88,20.56,,7.68,8.28,43.35,0.0,4.29,0.36,195.0,Moderate
Jaipur,2019-09-11,47.43,100.18,8.87,32.6,33.37,37.1,0.8,11.11,30.86,0.68,3.57,,103.0,Moderate
Thiruvananthapuram,2020-01-13,45.18,72.0,9.89,26.77,22.24,13.4,0.97,9.13,51.15,,,,87.0,Satisfactory
Visakhapatnam,2019-05-04,52.61,180.09,4.74,32.12,20.93,31.66,0.86,2.49,36.58,2.56,4.47,0.95,175.0,Moderate
Hyderabad,2018-07-30,26.02,84.97,5.11,25.61,17.39,25.84,0.32,6.79,17.7,0.73,3.83,0.53,87.0,Satisfactory
Mumbai,2017-07-31,,,,,,,0.0,,,0.0,0.0,0.0,,
Jaipur,2017-07-17,33.83,76.56,13.4,21.08,,5.31,0.77,9.18,1.47,0.0,0.64,,83.0,Satisfactory
Jaipur,2020-06-25,64.47,202.53,6.49,16.88,20.25,24.4,0.67,8.76,45.26,0.59,1.58,,76.0,Satisfactory
Lucknow,2018-10-01,88.36,,6.62,30.43,20.9,37.05,0.97,5.46,38.74,0.25,0.28,,200.0,Moderate
Ahmedabad,2015-10-23,78.14,,10.58,28.93,39.51,,10.58,44.91,35.56,4.72,8.87,2.28,297.0,Poor
Patna,2020-01-29,132.55,208.53,62.27,37.57,96.2,35.33,1.18,10.48,19.53,1.22,10.04,2.18,279.0,Poor
Lucknow,2019-10-12,70.45,,17.6,33.32,31.77,39.75,1.16,4.46,32.11,3.0,14.36,,162.0,Moderate
Lucknow,2017-05-29,60.92,,6.13,14.29,6.24,,1.43,3.55,33.64,2.1,2.34,,100.0,Satisfactory
Patna,2019-04-27,63.02,,9.27,32.89,14.14,,0.88,42.1,78.79,1.63,15.71,6.0,153.0,Moderate
Patna,2019-07-15,37.65,,10.85,63.5,23.04,,1.48,40.31,26.21,0.92,5.49,3.75,91.0,Satisfactory
Chennai,2015-07-12,61.7,,6.01,20.32,15.16,52.0,8.59,6.71,33.56,0.99,6.67,,230.0,Poor
Patna,2017-04-09,105.5,,1.67,3.2,4.87,,0.89,4.14,3.31,0.1,0.66,0.17,219.0,Poor
Jaipur,2018-03-24,48.33,99.02,8.93,38.26,43.21,17.58,0.73,8.77,53.65,0.47,1.33,,117.0,Moderate
Jorapokhar,2020-05-05,27.08,139.89,23.86,10.12,,9.41,1.45,25.22,87.88,,,,172.0,Moderate
Kochi,2020-04-22,11.74,22.91,50.19,11.56,52.1,8.68,0.99,15.47,1.31,,0.0,,78.0,Satisfactory
Jaipur,2017-06-26,61.34,100.61,,0.07,,1.19,1.01,8.55,13.56,,,,90.0,Satisfactory
Visakhapatnam,2017-02-20,78.02,138.38,12.65,39.22,31.1,11.86,1.27,21.8,29.06,4.26,6.15,1.21,184.0,Moderate
Coimbatore,2019-10-08,14.83,17.47,6.42,3.07,9.19,4.47,1.54,9.42,46.68,0.01,0.06,,81.0,Satisfactory
Gurugram,2017-11-07,236.77,,16.28,23.36,26.17,,2.05,7.86,29.88,1.1,5.63,,360.0,Very Poor
Delhi,2017-02-19,109.38,364.83,105.3,68.84,64.27,75.4,0.78,18.33,29.1,3.12,6.7,,274.0,Poor
Hyderabad,2020-03-10,25.67,60.08,9.91,21.21,17.74,11.85,0.44,4.35,21.56,1.78,7.31,0.61,65.0,Satisfactory
Chennai,2020-02-19,42.95,94.21,12.45,14.71,26.62,91.73,0.77,15.05,24.71,2.38,0.12,,84.0,Satisfactory
Delhi,2018-06-28,30.07,71.42,8.68,29.01,23.9,44.84,0.76,8.48,33.17,1.65,18.35,0.44,99.0,Satisfactory
Patna,2016-05-02,113.64,,6.02,3.13,9.14,,1.39,7.37,18.68,0.22,0.84,0.57,305.0,Very Poor
Lucknow,2016-01-22,255.63,,2.5,12.22,4.22,,7.43,6.49,46.69,,,,372.0,Very Poor
Jorapokhar,2018-07-30,,179.33,6.67,7.17,,6.69,0.4,30.85,10.89,,,,,
Patna,2016-08-01,41.62,,16.36,14.88,29.4,,0.96,2.28,7.94,0.15,0.68,0.41,84.0,Satisfactory
Lucknow,2016-07-23,21.57,,3.56,18.83,4.22,,5.08,6.46,24.75,0.15,0.04,,68.0,Satisfactory
Lucknow,2020-04-17,79.72,,5.3,25.3,19.69,5.43,0.99,10.04,19.8,18.92,17.28,,211.0,Poor
Delhi,2018-08-19,47.01,96.0,18.92,31.85,33.12,31.46,1.07,11.4,32.1,1.63,32.28,0.03,100.0,Satisfactory
Lucknow,2017-08-22,43.99,,12.14,47.89,,,1.23,6.19,14.16,1.5,3.1,,75.0,Satisfactory
Kolkata,2019-06-13,43.52,75.56,6.69,24.24,26.81,4.38,0.54,3.09,51.71,9.79,8.75,3.76,94.0,Satisfactory
Coimbatore,2020-02-13,46.63,58.56,0.45,32.29,32.74,,0.61,11.42,57.01,0.0,0.0,,84.0,Satisfactory
Mumbai,2016-03-19,,,,,11.05,,0.0,,,0.0,0.0,0.0,,
Delhi,2020-02-13,95.72,179.78,15.54,41.59,37.63,36.91,0.95,16.49,36.8,3.09,16.55,0.5,279.0,Poor
Kolkata,2019-06-14,52.05,89.17,6.14,22.9,25.68,4.35,0.54,1.73,48.36,7.5,6.96,2.87,101.0,Moderate
Jorapokhar,2018-01-31,,117.28,8.49,9.4,,7.04,0.32,55.96,17.04,,,,134.0,Moderate
Delhi,2018-04-21,119.24,480.07,9.64,30.99,35.73,31.94,0.89,12.08,61.05,1.13,2.73,0.0,444.0,Severe
Hyderabad,2018-03-01,54.84,127.04,14.31,65.26,46.13,21.27,1.12,11.14,37.91,2.69,19.29,3.4,124.0,Moderate
Guwahati,2019-05-06,51.38,87.31,6.08,17.0,28.18,17.89,0.81,23.26,24.48,0.67,,,80.0,Satisfactory
Delhi,2017-09-18,60.83,102.29,20.23,56.67,11.54,33.88,0.21,,30.08,0.19,0.0,,99.0,Satisfactory
Thiruvananthapuram,2018-05-05,26.48,46.4,2.98,9.51,7.47,3.76,0.89,6.5,58.65,,,,82.0,Satisfactory
Lucknow,2018-10-06,123.5,,18.05,45.87,38.52,37.36,1.11,6.17,29.63,0.2,0.48,,251.0,Poor
Jorapokhar,2018-04-23,,120.74,8.84,9.48,,7.05,0.31,87.73,36.21,,,,,
Thiruvananthapuram,2018-08-06,9.04,28.54,2.81,5.17,4.99,1.97,1.0,4.48,27.11,,,,62.0,Satisfactory
Shillong,2020-02-12,40.08,56.09,0.87,2.71,1.17,2.78,0.4,9.24,37.57,0.34,0.09,,71.0,Satisfactory
Hyderabad,2018-12-23,78.01,138.69,5.23,41.45,25.43,16.4,0.68,7.12,42.72,2.6,17.11,4.8,151.0,Moderate
Visakhapatnam,2019-05-28,39.54,117.65,12.21,51.29,37.33,1.9,1.06,18.0,29.81,3.99,6.75,1.6,106.0,Moderate
Mumbai,2018-11-01,49.85,138.28,66.92,60.47,127.38,,2.1,16.34,39.87,2.77,,,141.0,Moderate
Patna,2018-04-29,63.41,,10.41,58.32,21.84,,0.95,47.85,108.44,0.0,2.59,0.48,151.0,Moderate
Jaipur,2017-12-30,68.64,203.76,8.84,48.01,27.74,18.14,0.0,17.52,70.86,2.94,4.54,,174.0,Moderate
Jorapokhar,2018-07-21,,68.22,7.04,7.2,,6.61,0.38,24.99,5.77,,,,89.0,Satisfactory
Mumbai,2018-07-23,14.24,56.91,11.01,17.29,28.31,,1.07,11.66,26.77,0.24,,,63.0,Satisfactory
Coimbatore,2019-09-22,23.5,28.44,7.28,9.9,17.18,2.59,1.42,9.57,22.24,0.02,0.06,,78.0,Satisfactory
Mumbai,2020-01-31,65.97,158.62,30.65,43.82,70.91,18.82,1.03,8.65,42.66,3.17,,,145.0,Moderate
Thiruvananthapuram,2018-02-10,42.91,65.34,1.83,12.29,7.92,5.96,0.95,3.92,45.62,,,,71.0,Satisfactory
Ahmedabad,2016-07-19,41.39,,100.77,54.7,48.42,,100.77,15.75,,0.0,0.0,0.13,499.0,Severe
Guwahati,2019-12-06,89.58,163.87,48.09,11.17,90.9,12.43,1.04,11.3,17.95,1.95,,,170.0,Moderate
Talcher,2018-10-06,,,,72.33,,23.94,,8.31,11.83,,,,,
Coimbatore,2019-08-22,23.94,36.68,9.58,7.75,17.34,20.73,1.44,9.55,13.29,0.02,0.0,,79.0,Satisfactory
Ahmedabad,2016-07-30,48.44,,84.21,30.66,114.87,,84.21,15.67,4.26,1.62,7.1,0.23,805.0,Severe
Ahmedabad,2016-08-01,33.5,,79.53,30.42,109.95,,79.53,14.95,4.81,0.0,0.0,0.0,740.0,Severe
Jorapokhar,2020-02-10,95.63,164.12,23.51,6.94,,10.1,,29.06,44.08,,,,,
Hyderabad,2016-06-26,24.5,,5.86,9.42,15.28,,0.68,6.0,15.04,0.14,0.99,0.15,90.0,Satisfactory
Mumbai,2019-09-29,9.62,32.07,17.97,9.67,27.5,12.28,0.28,8.2,7.3,2.55,,,42.0,Good
Gurugram,2016-10-04,112.56,,,,,,0.5,2.63,26.83,,,,229.0,Poor
Hyderabad,2017-05-20,41.91,143.04,4.73,48.49,12.84,22.07,0.11,10.89,36.62,0.09,0.91,0.49,126.0,Moderate
Ahmedabad,2016-10-07,85.36,,14.48,7.59,22.5,,14.48,7.63,20.62,3.14,11.29,0.0,311.0,Very Poor
Gurugram,2018-12-24,155.15,324.22,190.51,104.4,208.0,,0.65,14.0,28.84,0.0,0.0,,305.0,Very Poor
Ahmedabad,2016-10-17,140.81,,18.56,19.3,37.86,,18.56,15.83,31.21,0.0,0.0,0.0,423.0,Severe
Delhi,2017-02-03,194.99,427.02,155.9,88.38,66.62,62.33,1.26,19.98,39.02,5.72,14.11,,438.0,Severe
Chennai,2017-03-16,286.08,,4.37,10.59,7.75,,0.0,2.49,13.35,0.2,0.0,,350.0,Very Poor
Ahmedabad,2016-10-22,96.53,,9.03,10.8,19.83,,9.03,26.45,33.14,4.92,11.85,5.33,362.0,Very Poor
Thiruvananthapuram,2019-04-10,29.96,62.29,0.89,4.54,3.11,2.73,0.89,1.98,54.35,,,,68.0,Satisfactory
Gurugram,2017-02-09,196.09,,5.21,7.38,,,0.76,7.01,28.66,0.03,3.22,,354.0,Very Poor
Thiruvananthapuram,2019-01-20,82.99,120.86,2.23,10.97,7.54,6.77,0.36,20.22,81.16,,,,159.0,Moderate
Mumbai,2017-10-24,,,,,,,0.0,,,0.0,0.0,0.0,,
Visakhapatnam,2017-06-04,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Chennai,2015-10-15,63.96,,22.31,22.35,33.64,25.85,1.75,9.37,23.01,,,,196.0,Moderate
Jaipur,2018-02-05,116.02,143.84,13.46,25.7,30.15,18.66,0.75,14.37,73.03,0.97,1.13,,153.0,Moderate
Delhi,2019-12-09,200.33,311.58,87.59,68.28,114.07,56.75,2.32,12.34,29.47,6.5,45.83,2.04,371.0,Very Poor
Lucknow,2019-09-25,33.36,,7.22,20.5,16.71,2.06,1.09,3.94,25.16,1.64,6.41,,92.0,Satisfactory
Visakhapatnam,2019-08-28,32.64,106.67,5.44,9.42,9.43,5.12,0.65,13.95,19.52,5.27,13.29,3.43,109.0,Moderate
Chennai,2017-10-30,19.87,,10.73,18.46,16.25,228.18,0.61,9.51,9.72,0.01,0.02,,88.0,Satisfactory
Kolkata,2018-10-10,9.55,24.85,4.57,24.09,28.66,14.66,1.51,1.89,22.32,4.88,8.36,,83.0,Satisfactory
Ahmedabad,2017-01-02,,,,,,,,,,0.0,0.0,0.0,,
Chennai,2018-01-16,74.62,,8.78,11.0,10.75,104.84,0.9,12.31,42.88,1.09,2.28,,134.0,Moderate
Lucknow,2019-12-11,207.35,,40.01,87.6,73.2,22.01,1.82,15.6,18.73,4.59,13.67,,361.0,Very Poor
Thiruvananthapuram,2017-08-08,13.97,32.81,1.79,6.53,4.9,,0.99,4.37,18.68,,,,63.0,Satisfactory
Ahmedabad,2017-01-20,,,,,,,,,,0.0,0.0,0.0,,
Patna,2019-02-18,106.34,,24.49,58.79,30.08,,0.96,43.8,64.25,1.53,15.32,4.57,217.0,Poor
Talcher,2018-08-30,35.68,100.35,56.32,,43.58,20.82,2.83,14.53,23.4,0.0,0.0,,,
Lucknow,2020-02-25,50.83,,8.93,20.95,18.12,1.65,1.17,5.31,39.24,0.52,7.69,,167.0,Moderate
Visakhapatnam,2020-02-12,62.0,106.88,2.75,27.1,16.65,12.64,1.02,8.18,46.57,3.45,6.59,1.16,101.0,Moderate
Visakhapatnam,2018-07-09,34.32,88.43,9.08,41.61,29.51,10.21,0.49,17.0,20.19,4.67,13.24,3.21,81.0,Satisfactory
Ahmedabad,2017-02-24,,,,,,,,,,0.0,0.0,0.0,,
Jorapokhar,2019-11-13,80.47,210.86,8.84,9.5,,6.25,,9.44,54.55,,,,134.0,Moderate
Visakhapatnam,2016-08-20,33.73,102.06,8.33,33.98,22.76,13.38,1.02,35.43,42.24,5.64,11.25,3.95,102.0,Moderate
Ahmedabad,2017-03-02,,,,,,,,,,0.0,0.0,0.0,,
Ahmedabad,2017-03-04,,,,,,,,,,0.0,0.0,0.0,,
Talcher,2018-08-07,2.65,51.95,,,0.0,,0.0,,,0.0,0.0,,78.0,Satisfactory
Mumbai,2015-01-07,,,,,27.08,,0.0,,,0.0,0.0,0.0,,
Visakhapatnam,2017-07-25,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Talcher,2018-12-23,157.16,,30.76,0.7,26.48,7.81,2.94,18.32,3.56,,,,,
Jaipur,2019-09-06,33.45,66.62,10.18,22.91,27.99,49.8,0.92,11.7,23.04,0.78,4.79,,75.0,Satisfactory
Patna,2018-04-25,127.1,,18.06,60.37,30.04,,1.64,49.87,80.45,0.4,3.17,1.46,322.0,Very Poor
Chennai,2015-07-16,57.02,,8.0,18.65,18.99,47.76,2.39,9.08,30.0,0.1,0.16,,189.0,Moderate
Visakhapatnam,2018-08-30,43.89,110.32,6.23,28.8,20.38,8.75,0.84,4.08,25.09,4.33,10.69,3.82,114.0,Moderate
Delhi,2015-11-09,201.44,364.2,88.69,79.2,134.41,55.64,2.01,40.75,108.12,7.16,21.36,1.19,378.0,Very Poor
Visakhapatnam,2019-07-06,25.58,91.73,17.5,39.32,35.15,5.7,0.7,10.14,5.42,5.97,15.23,4.13,80.0,Satisfactory
Hyderabad,2015-08-01,21.46,,9.63,8.91,18.4,,0.68,8.75,19.35,0.91,1.61,0.04,89.0,Satisfactory
Patna,2020-04-01,67.83,110.46,55.33,47.14,68.39,12.94,1.86,12.02,22.36,3.26,5.29,3.17,156.0,Moderate
Mumbai,2017-07-09,,,,,,,0.0,,,0.0,0.0,0.0,,
Guwahati,2019-11-29,96.93,166.82,61.71,14.52,116.9,10.81,1.09,11.11,18.14,10.82,,,183.0,Moderate
Talcher,2018-04-28,30.96,115.35,19.9,11.97,28.2,34.62,1.43,37.6,22.32,0.0,0.0,,104.0,Moderate
Chennai,2016-11-11,76.21,,3.91,13.7,8.11,,0.02,3.43,56.87,0.31,0.46,,148.0,Moderate
Hyderabad,2018-01-23,60.4,117.57,4.36,46.04,27.83,19.96,0.71,6.93,47.74,2.48,12.28,4.47,125.0,Moderate
Chennai,2017-05-13,36.62,,4.75,11.88,10.24,,0.03,10.08,27.28,0.02,0.02,,70.0,Satisfactory
Delhi,2018-03-10,75.67,171.69,16.27,39.85,47.05,39.35,0.95,14.8,41.74,1.36,4.0,0.0,207.0,Poor
Thiruvananthapuram,2020-01-05,27.03,43.67,8.19,17.5,15.92,13.76,0.85,8.36,43.66,,,,71.0,Satisfactory
Talcher,2019-11-21,76.79,251.25,7.47,8.87,16.35,5.68,1.87,39.22,12.54,0.0,,,182.0,Moderate
Coimbatore,2019-06-15,30.04,35.85,7.37,6.23,13.6,7.35,1.15,10.51,17.24,0.04,0.27,,60.0,Satisfactory
Jaipur,2018-04-27,76.08,203.97,7.31,53.92,50.85,27.11,0.71,10.29,42.32,0.46,4.74,,176.0,Moderate
Delhi,2016-12-11,199.12,294.81,46.99,50.79,27.33,29.59,1.25,22.65,37.83,6.73,14.23,,351.0,Very Poor
Talcher,2018-09-27,,0.14,,56.73,,26.21,,3.36,14.33,,,,23.0,Good
Jorapokhar,2020-05-12,60.69,86.13,24.77,11.99,,8.84,1.28,25.64,54.6,,,,127.0,Moderate
Thiruvananthapuram,2018-10-30,51.29,90.58,3.4,3.88,4.6,3.05,1.21,5.84,20.02,,,,87.0,Satisfactory
Gurugram,2019-05-08,134.8,404.82,24.51,26.14,46.96,,0.99,1.84,29.99,0.0,0.0,,323.0,Very Poor
Talcher,2019-08-25,30.54,68.07,28.75,6.61,34.23,7.68,2.42,40.91,2.58,0.0,,,108.0,Moderate
Jaipur,2018-06-12,73.33,248.63,8.37,22.09,24.34,28.49,0.7,10.04,39.2,0.49,2.56,,169.0,Moderate
Mumbai,2015-03-08,,,,,27.07,,0.0,,,0.0,0.0,0.0,,
Hyderabad,2016-10-24,58.23,108.26,10.82,66.72,20.79,34.59,0.3,30.29,29.52,0.08,2.06,0.31,107.0,Moderate
Mumbai,2019-01-19,82.07,254.54,94.63,50.15,144.78,,3.3,35.06,29.55,2.45,,,190.0,Moderate
Kolkata,2019-01-05,219.26,332.24,107.44,115.8,188.3,27.42,1.17,15.03,27.99,16.59,33.74,,391.0,Very Poor
Patna,2020-04-04,54.28,99.59,48.09,48.52,53.03,12.07,1.47,11.9,22.33,0.72,3.72,1.03,125.0,Moderate
Chennai,2020-06-20,89.92,50.56,8.8,14.48,22.61,34.06,1.12,5.5,61.97,0.1,0.0,,152.0,Moderate
Visakhapatnam,2018-01-11,123.81,289.19,33.55,70.69,64.86,19.8,1.52,15.06,60.26,6.32,7.06,2.61,279.0,Poor
Hyderabad,2016-12-15,57.33,93.83,22.06,49.45,7.32,26.91,0.25,13.93,27.81,0.02,0.31,0.21,96.0,Satisfactory
Visakhapatnam,2018-05-01,14.65,58.94,5.99,29.04,20.39,9.81,0.43,4.0,37.8,3.07,6.61,2.22,65.0,Satisfactory
Hyderabad,2017-10-28,71.27,163.27,8.06,40.69,2.4,14.51,0.08,11.15,80.8,1.99,9.04,2.02,,
Talcher,2020-01-01,153.15,305.06,0.78,18.97,16.05,2.72,1.99,32.83,30.07,0.0,,,336.0,Very Poor
Hyderabad,2015-11-22,70.96,104.88,7.28,7.21,12.71,10.08,1.25,9.36,43.03,1.42,5.74,1.04,121.0,Moderate
Hyderabad,2020-02-20,45.57,94.57,10.85,27.45,21.75,19.79,0.41,5.78,31.14,1.07,4.52,0.1,97.0,Satisfactory
Talcher,2020-01-11,130.4,279.67,1.59,22.18,11.8,2.31,2.01,2.37,26.85,0.0,,,290.0,Poor
Chennai,2020-05-07,11.23,,4.15,5.48,9.18,29.93,0.76,3.98,43.98,0.21,0.01,,73.0,Satisfactory
Chennai,2015-08-13,58.42,,8.6,14.41,19.25,36.34,1.17,9.36,13.79,6.14,,,102.0,Moderate
Patna,2019-03-21,176.31,,66.28,112.88,67.58,,3.93,39.06,51.01,2.32,17.53,5.3,327.0,Very Poor
Kolkata,2018-09-16,61.52,98.68,24.65,36.89,61.31,10.18,1.56,1.99,15.22,3.72,10.39,,114.0,Moderate
Ahmedabad,2017-10-24,67.4,,,,37.53,,,,19.89,7.54,15.47,1.19,102.0,Moderate
Ahmedabad,2017-10-26,112.25,,104.94,36.61,141.28,,104.94,43.78,23.6,21.01,51.59,3.38,1426.0,Severe
