도시,날짜,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,벤젠,톨루엔,자일렌,AQI,AQI등급
Thiruvananthapuram,2017-10-28,,,,,0.0,5.19,0.0,,,,,,,
Visakhapatnam,2017-07-26,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Visakhapatnam,2016-09-13,22.89,54.42,16.53,28.03,25.98,17.05,0.59,18.84,27.81,5.33,9.74,5.88,73.0,Satisfactory
Ahmedabad,2015-04-14,58.37,,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244.0,Poor
Thiruvananthapuram,2017-11-05,19.39,24.78,2.04,6.54,5.13,4.03,1.05,4.12,7.69,,,,67.0,Satisfactory
Hyderabad,2020-05-03,33.03,80.72,6.32,26.32,18.2,12.42,0.49,5.04,30.42,2.04,14.96,0.39,70.0,Satisfactory
Hyderabad,2016-08-19,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Jaipur,2018-07-16,39.39,52.99,10.17,21.92,32.03,14.39,0.65,9.6,33.6,1.16,5.34,,86.0,Satisfactory
Chennai,2018-01-24,80.11,,13.56,21.32,18.6,93.14,0.7,12.56,28.97,1.09,2.55,,164.0,Moderate
Patna,2020-04-17,38.82,101.67,69.71,15.28,50.49,13.41,1.35,9.8,37.05,0.77,3.64,0.56,134.0,Moderate
Hyderabad,2017-12-06,51.81,85.9,6.0,30.32,20.6,13.05,0.72,13.15,48.64,2.62,8.81,2.52,100.0,Satisfactory
Ahmedabad,2015-04-22,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate
Gurugram,2018-04-28,,,,,14.61,,0.0,,,3.17,,,,
Ahmedabad,2015-04-24,80.9,,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214.0,Poor
Mumbai,2020-05-09,14.21,54.67,17.02,5.12,18.7,4.03,0.3,32.49,21.56,3.11,,,67.0,Satisfactory
Ahmedabad,2015-04-26,107.5,,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239.0,Poor
Ahmedabad,2015-04-27,161.14,,3.11,14.77,16.12,,3.11,118.35,59.73,0.0,2.55,0.0,,
Gurugram,2018-12-20,133.58,265.0,124.65,80.65,123.06,,0.45,11.98,31.04,0.0,0.0,,288.0,Poor
Gurugram,2018-03-01,109.26,216.02,19.62,43.22,38.51,,1.18,,73.74,,,,287.0,Poor
Mumbai,2019-04-04,16.91,66.3,33.32,19.55,52.88,,1.72,22.44,21.67,0.53,,,94.0,Satisfactory
Patna,2018-11-26,260.83,,38.96,6.61,23.81,,3.01,35.12,,5.78,34.65,21.44,405.0,Severe
Ahmedabad,2015-05-02,126.77,,15.69,23.93,39.73,,15.69,93.18,36.71,0.22,0.04,10.0,344.0,Very Poor
Lucknow,2015-01-14,,,2.89,15.26,4.7,,12.86,42.93,34.77,2.19,4.77,,,
Ahmedabad,2015-05-04,86.31,,2.69,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8,308.0,Very Poor
Ahmedabad,2015-05-05,83.99,,2.73,0.08,2.75,,2.73,34.06,69.57,0.28,0.05,8.97,227.0,Poor
Patna,2020-06-05,20.15,51.75,80.95,15.72,35.29,6.47,0.58,4.52,29.06,2.03,4.18,1.1,97.0,Satisfactory
Ahmedabad,2015-05-07,51.03,,6.24,20.47,26.2,,6.24,15.5,31.44,0.0,0.0,1.29,158.0,Moderate
Hyderabad,2016-04-22,41.99,103.25,11.78,41.0,28.75,22.04,1.06,6.03,40.99,1.16,6.37,1.79,100.0,Satisfactory
Patna,2015-10-25,197.17,,116.61,40.47,157.07,,1.24,4.1,9.82,0.42,2.29,0.98,,
Mumbai,2018-09-13,19.28,48.32,34.93,21.2,56.14,,1.44,17.7,25.68,0.84,,,82.0,Satisfactory
Coimbatore,2020-06-08,18.21,33.68,,40.31,31.19,3.17,0.8,6.43,20.68,0.0,0.0,,54.0,Satisfactory
Guwahati,2019-12-08,101.34,166.41,45.18,11.39,86.36,12.71,1.05,11.38,18.01,2.07,,,206.0,Poor
Lucknow,2019-01-20,200.11,,43.44,57.68,65.11,47.8,1.41,10.39,31.84,0.08,0.51,,337.0,Very Poor
Lucknow,2018-08-24,31.25,,11.49,26.75,25.1,22.98,0.79,7.6,10.44,0.16,0.39,,88.0,Satisfactory
Ahmedabad,2015-05-15,129.27,,14.28,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97,327.0,Very Poor
Lucknow,2017-12-13,173.02,,11.72,60.94,41.47,51.16,0.81,8.87,29.12,1.76,1.26,,352.0,Very Poor
Ahmedabad,2015-05-17,100.57,,7.56,18.79,24.33,,7.56,38.76,38.83,4.92,17.94,1.54,411.0,Severe
Ahmedabad,2015-05-18,130.34,,7.14,17.43,23.72,,7.14,52.07,29.05,5.05,14.0,1.3,212.0,Poor
Gurugram,2018-02-27,,,,,15.12,,0.0,,,,,,,
Talcher,2019-04-10,58.43,139.58,24.21,15.58,22.51,6.92,1.55,27.7,4.37,0.0,,,158.0,Moderate
Ahmedabad,2015-05-21,50.1,,9.46,14.9,22.5,,9.46,30.67,12.91,0.41,1.89,1.44,,
Lucknow,2018-06-28,50.14,,9.56,24.33,20.45,36.79,0.78,8.2,21.49,0.04,0.16,,124.0,Moderate
Shillong,2020-01-31,40.96,56.13,0.74,2.4,1.07,2.46,0.35,7.23,37.35,0.33,0.15,,71.0,Satisfactory
Ahmedabad,2015-05-24,46.89,,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53,129.0,Moderate
Lucknow,2017-06-28,44.5,,6.76,15.31,,,1.18,4.38,16.62,1.5,2.58,,70.0,Satisfactory
Ahmedabad,2015-05-26,53.66,,4.23,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53,176.0,Moderate
Jaipur,2017-11-11,119.13,245.38,26.3,72.86,85.19,47.41,0.98,6.1,98.66,6.66,24.82,,275.0,Poor
Gurugram,2018-03-13,75.25,173.32,26.5,45.01,44.0,,1.15,,82.93,,,,201.0,Poor
Visakhapatnam,2018-11-14,72.47,131.34,3.42,21.2,14.06,10.68,0.75,8.52,133.4,3.96,5.55,1.38,170.0,Moderate
Thiruvananthapuram,2020-06-17,27.92,57.72,10.42,12.51,19.56,8.53,0.54,5.72,15.06,,,,58.0,Satisfactory
Ahmedabad,2015-05-31,57.59,,5.6,15.47,20.42,,5.6,41.68,25.51,2.64,6.3,3.08,174.0,Moderate
Hyderabad,2017-03-22,60.92,175.69,12.57,52.0,14.03,26.07,0.17,21.17,68.16,0.16,2.49,0.75,171.0,Moderate
Mumbai,2018-09-27,37.21,76.15,40.21,33.05,73.08,,1.58,13.64,49.45,0.84,,,90.0,Satisfactory
Hyderabad,2017-05-27,26.99,79.38,4.45,30.37,7.75,18.74,0.07,4.17,43.41,0.01,0.27,0.08,103.0,Moderate
Jorapokhar,2020-05-17,76.23,159.13,23.46,10.29,,8.83,0.88,23.23,41.24,,,,136.0,Moderate
Jorapokhar,2019-04-05,57.54,112.16,8.91,9.56,,6.32,,4.01,4.35,,,,114.0,Moderate
Thiruvananthapuram,2017-08-19,12.91,37.2,1.88,6.51,4.97,,0.92,2.99,13.21,,,,56.0,Satisfactory
Jaipur,2017-10-15,104.08,177.3,31.78,25.56,66.35,35.78,0.83,10.99,29.4,0.11,0.63,,238.0,Poor
Hyderabad,2017-12-01,70.03,128.64,8.67,37.15,26.11,16.99,0.8,14.25,59.62,2.98,13.32,3.83,139.0,Moderate
Hyderabad,2019-04-10,42.14,105.98,7.75,41.35,28.05,13.09,0.77,8.54,31.83,1.41,14.18,3.73,100.0,Satisfactory
Delhi,2018-02-21,172.99,346.46,72.82,92.54,94.31,49.47,2.42,13.97,57.47,5.24,8.8,0.93,347.0,Very Poor
Ahmedabad,2015-06-11,36.98,,8.21,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33,215.0,Poor
Ahmedabad,2015-06-12,43.58,,8.26,13.33,21.58,,8.26,1.02,7.56,3.59,6.79,1.5,226.0,Poor
Ahmedabad,2015-06-13,45.49,,9.63,14.91,24.53,,9.63,0.81,2.94,3.67,6.62,1.17,251.0,Poor
Mumbai,2016-07-11,,,,,17.83,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-06-15,45.41,,9.35,20.55,29.9,,9.35,0.74,4.5,2.83,7.18,0.82,237.0,Poor
Ahmedabad,2015-06-16,37.71,,8.54,16.26,24.8,,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate
Ahmedabad,2015-06-17,32.37,,7.53,14.36,21.89,,7.53,2.17,12.17,1.88,7.92,0.69,195.0,Moderate
Chennai,2019-08-09,22.61,29.99,7.91,17.47,24.91,42.18,0.65,5.14,37.47,0.37,1.16,,70.0,Satisfactory
Mumbai,2020-02-05,60.91,153.38,36.17,47.47,82.28,20.72,0.96,9.38,41.6,2.78,,,151.0,Moderate
Delhi,2017-10-08,102.2,155.03,20.71,24.51,14.05,41.02,0.24,24.0,35.32,0.31,2.14,0.09,224.0,Poor
Hyderabad,2020-02-09,41.49,67.47,12.81,27.11,23.16,16.83,0.49,5.98,17.12,0.32,1.5,0.0,82.0,Satisfactory
Mumbai,2017-01-17,,,,,,,0.0,,,0.0,0.0,0.0,,
Jaipur,2020-04-24,23.18,54.55,4.46,17.09,18.71,24.62,0.58,12.13,42.34,0.64,0.89,,68.0,Satisfactory
Coimbatore,2020-04-13,33.51,36.69,1.07,77.9,78.96,,0.65,6.33,23.33,0.0,0.06,,94.0,Satisfactory
Ahmedabad,2015-06-25,57.75,,8.68,9.68,18.36,,8.68,12.28,3.06,1.98,6.51,0.74,196.0,Moderate
Visakhapatnam,2020-04-14,18.97,65.8,14.74,29.57,27.71,6.95,0.11,7.14,13.23,2.84,6.59,0.98,68.0,Satisfactory
Ahmedabad,2015-06-27,62.61,,9.15,9.83,18.98,,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor
Hyderabad,2019-11-24,80.31,147.9,6.13,38.39,25.13,14.89,0.79,6.99,30.62,3.31,21.64,9.46,156.0,Moderate
Visakhapatnam,2017-12-20,72.83,137.31,10.25,54.01,37.01,12.09,1.12,6.59,69.33,3.83,6.36,1.87,124.0,Moderate
Ahmedabad,2015-06-30,30.0,,8.87,13.59,22.64,,8.87,8.09,6.31,1.32,4.59,0.16,244.0,Poor
Delhi,2015-09-21,45.65,109.7,14.64,62.69,56.18,27.96,1.16,13.55,48.02,2.71,7.95,3.01,136.0,Moderate
Ahmedabad,2015-07-02,48.72,,9.56,11.94,21.5,,9.56,5.72,6.61,1.77,4.96,0.39,230.0,Poor
Ahmedabad,2015-07-03,49.7,,9.43,9.81,19.23,,9.43,6.78,6.42,2.0,4.79,0.31,243.0,Poor
Lucknow,2016-06-06,65.55,,5.07,5.79,2.21,,1.33,5.63,48.36,1.97,0.66,,106.0,Moderate
Mumbai,2017-03-15,,,,,,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-07-06,51.74,,8.91,12.38,21.28,,8.91,10.05,5.78,2.15,3.64,0.27,200.0,Moderate
Ahmedabad,2015-07-07,42.68,,9.74,11.08,20.82,,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor
Ahmedabad,2015-07-08,38.45,,10.55,7.8,18.35,,10.55,10.28,3.24,2.46,4.79,0.41,241.0,Poor
Ahmedabad,2015-07-09,46.69,,11.48,0.17,11.64,,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor
Ahmedabad,2015-07-10,55.27,,11.55,0.12,11.66,,11.55,12.7,6.55,1.69,4.17,0.22,223.0,Poor
Ahmedabad,2015-07-11,149.03,,11.49,0.16,11.65,,11.49,10.07,7.27,1.71,5.72,0.19,248.0,Poor
Hyderabad,2016-03-10,60.66,98.21,8.12,15.99,22.67,10.27,1.14,5.09,32.62,1.3,6.92,2.93,121.0,Moderate
Gurugram,2017-06-28,62.93,,5.95,10.1,,,0.49,3.65,20.32,0.02,1.91,,228.0,Poor
Thiruvananthapuram,2019-12-16,32.25,63.77,12.38,26.23,23.97,10.36,1.56,11.62,40.86,,,,92.0,Satisfactory
Visakhapatnam,2019-05-14,37.06,122.82,5.88,10.67,10.43,5.51,0.69,2.64,19.63,2.03,4.12,0.68,129.0,Moderate
Ahmedabad,2015-07-16,65.37,,0.64,8.07,8.57,,0.64,16.31,8.02,1.63,4.34,0.28,105.0,Moderate
Hyderabad,2016-11-15,67.56,102.5,9.75,35.21,12.11,27.89,0.54,25.31,55.35,0.06,1.11,0.16,125.0,Moderate
Mumbai,2016-12-26,,,,,,,0.0,,,,,,,
Jorapokhar,2020-03-01,97.24,197.27,24.83,10.2,,9.39,,40.11,38.66,,,,220.0,Poor
Ahmedabad,2015-07-20,31.3,,0.55,8.1,8.49,,0.55,10.29,7.44,0.52,2.31,0.06,60.0,Satisfactory
Lucknow,2020-04-05,54.39,,4.78,12.55,10.41,36.13,0.99,6.64,29.91,17.8,5.93,,91.0,Satisfactory
Ahmedabad,2015-07-22,57.11,,0.55,8.28,8.42,,0.55,14.58,2.6,2.81,14.53,1.87,90.0,Satisfactory
Hyderabad,2017-09-26,45.69,98.84,9.31,20.98,10.8,11.57,0.0,7.2,29.15,0.18,3.48,1.29,80.0,Satisfactory
Gurugram,2020-03-30,32.0,57.58,4.84,12.76,8.93,42.26,0.55,18.56,58.39,3.7,7.13,16.34,80.0,Satisfactory
Jaipur,2020-01-28,41.35,102.11,5.91,37.77,35.84,27.44,0.84,10.17,45.97,2.8,9.56,,94.0,Satisfactory
Hyderabad,2016-06-21,33.96,,8.94,15.16,24.1,,0.99,6.66,16.7,0.24,1.69,0.18,105.0,Moderate
Kochi,2020-04-21,13.76,25.64,79.03,8.93,70.82,7.34,1.02,13.07,1.3,,0.0,,91.0,Satisfactory
Thiruvananthapuram,2018-11-05,54.98,78.08,2.78,8.5,6.62,2.56,1.4,7.32,34.42,,,,87.0,Satisfactory
Patna,2020-04-03,43.86,91.67,36.73,47.11,51.85,12.02,1.55,11.53,23.24,0.67,4.42,1.51,120.0,Moderate
Lucknow,2017-02-01,175.53,,27.63,40.42,,,2.36,8.42,66.29,4.33,11.46,,345.0,Very Poor
Ahmedabad,2015-07-31,40.95,,6.92,10.47,17.39,,6.92,19.8,3.38,2.05,5.08,0.44,174.0,Moderate
Mumbai,2018-01-03,,,,,115.35,,3.64,,,0.0,0.0,0.0,,
Patna,2015-10-21,98.72,,42.19,27.44,69.41,,1.63,4.49,10.97,0.29,1.89,0.7,214.0,Poor
Talcher,2019-12-11,88.37,292.02,9.72,35.01,41.7,,2.67,18.33,13.45,0.0,,,210.0,Poor
Lucknow,2016-06-29,45.45,,8.34,33.81,7.08,,1.01,5.43,17.6,0.65,,,47.0,Good
Delhi,2018-08-24,23.71,88.0,17.54,24.6,29.81,28.45,0.8,10.4,19.29,1.15,27.47,0.16,89.0,Satisfactory
Jorapokhar,2018-02-09,,289.1,9.9,10.37,,6.87,0.38,91.04,16.82,,,,145.0,Moderate
Ahmedabad,2015-08-07,48.12,,7.14,20.3,27.45,,7.14,6.77,12.78,1.22,3.39,0.26,173.0,Moderate
Chennai,2016-07-19,32.43,,9.66,16.81,17.54,143.2,3.09,5.57,8.82,1.48,5.43,,125.0,Moderate
Chennai,2017-04-01,34.69,,3.34,9.52,6.97,,0.02,4.96,13.8,0.04,0.0,,60.0,Satisfactory
Lucknow,2017-02-03,172.73,,35.5,46.63,,,2.39,9.0,66.82,4.16,11.43,,360.0,Very Poor
Ahmedabad,2015-08-11,40.49,,7.48,20.23,27.71,,7.48,8.92,21.51,1.17,3.0,0.11,176.0,Moderate
