고객세그먼트,제품대분류,제품소분류,지역,매출액,수량,할인율,이익
Home Office,Furniture,Chairs,Central,213.115,5.0,0.3,-15.2225
Corporate,Office Supplies,Art,West,1113.024,8.0,0.2,111.3024
Corporate,Technology,Phones,West,167.968,4.0,0.2,62.988
Consumer,Office Supplies,Paper,South,75.88,2.0,0.0,35.6636
Consumer,Office Supplies,Binders,East,4.616,1.0,0.2,1.731
Consumer,Office Supplies,Paper,Central,19.05,3.0,0.0,8.763
Consumer,Office Supplies,Paper,West,55.86,7.0,0.0,27.93
Home Office,Furniture,Chairs,East,767.214,14.0,0.1,161.9674
Consumer,Office Supplies,Envelopes,West,18.688,2.0,0.2,7.008
Consumer,Office Supplies,Envelopes,Central,81.54,3.0,0.0,38.3238
Corporate,Office Supplies,Storage,Central,418.32,7.0,0.0,117.1296
Consumer,Office Supplies,Paper,East,164.88,3.0,0.0,80.7912
Corporate,Office Supplies,Binders,West,18.368,4.0,0.2,5.9696
Consumer,Technology,Accessories,Central,43.56,3.0,0.2,-4.9005
Consumer,Office Supplies,Binders,East,7.236,3.0,0.7,-6.03
Consumer,Office Supplies,Art,West,14.9,5.0,0.0,4.172
Consumer,Office Supplies,Storage,West,21.39,1.0,0.0,6.2031
Corporate,Office Supplies,Storage,South,98.352,3.0,0.2,-24.588
Home Office,Office Supplies,Storage,Central,230.376,3.0,0.2,-48.9549
Home Office,Office Supplies,Appliances,East,111.04,4.0,0.0,29.9808
Consumer,Office Supplies,Appliances,Central,1089.75,3.0,0.0,305.13
Corporate,Office Supplies,Paper,West,12.96,2.0,0.0,6.2208
Corporate,Furniture,Furnishings,West,131.88,7.0,0.0,55.3896
Consumer,Office Supplies,Storage,South,348.56,8.0,0.0,104.568
Corporate,Technology,Phones,West,73.584,2.0,0.2,8.2782
Home Office,Office Supplies,Art,West,113.22,3.0,0.0,29.4372
Consumer,Office Supplies,Paper,Central,12.96,2.0,0.0,6.2208
Corporate,Furniture,Furnishings,East,54.768,2.0,0.2,6.846
Consumer,Office Supplies,Paper,East,37.408,7.0,0.2,13.0928
Home Office,Office Supplies,Binders,West,5.682,1.0,0.7,-3.788
Home Office,Furniture,Furnishings,East,96.53,7.0,0.0,40.5426
Consumer,Office Supplies,Binders,West,51.312,3.0,0.2,17.9592
Corporate,Office Supplies,Appliances,Central,77.88,6.0,0.0,22.5852
Corporate,Furniture,Chairs,Central,528.43,5.0,0.3,-143.431
Home Office,Technology,Accessories,Central,95.976,3.0,0.2,-10.7973
Home Office,Office Supplies,Binders,Central,1.788,3.0,0.8,-3.0396
Consumer,Office Supplies,Paper,Central,23.92,4.0,0.0,11.7208
Consumer,Office Supplies,Paper,East,21.6,6.0,0.0,9.936
Consumer,Furniture,Furnishings,West,102.36,3.0,0.2,-3.8385
Corporate,Office Supplies,Storage,East,89.82,6.0,0.0,25.1496
Consumer,Technology,Accessories,South,74.112,8.0,0.2,17.6016
Home Office,Office Supplies,Paper,East,184.66,7.0,0.0,84.9436
Corporate,Technology,Accessories,Central,207.984,2.0,0.2,36.3972
Corporate,Technology,Copiers,Central,4899.93,7.0,0.0,2302.9671
Consumer,Technology,Phones,Central,431.976,3.0,0.2,32.3982
Consumer,Office Supplies,Binders,East,18.312,4.0,0.7,-12.208
Consumer,Office Supplies,Binders,Central,27.24,6.0,0.0,13.3476
Consumer,Office Supplies,Fasteners,East,40.096,14.0,0.2,14.5348
Home Office,Office Supplies,Storage,Central,84.55,5.0,0.0,22.8285
Consumer,Office Supplies,Paper,East,23.976,3.0,0.2,7.4925
Consumer,Office Supplies,Envelopes,East,130.464,6.0,0.2,44.0316
Consumer,Furniture,Tables,West,787.53,3.0,0.0,165.3813
Consumer,Office Supplies,Binders,West,13.208,1.0,0.2,4.6228
Corporate,Office Supplies,Storage,East,465.18,3.0,0.0,120.9468
Consumer,Office Supplies,Binders,East,30.84,4.0,0.0,13.878
Consumer,Technology,Phones,Central,39.984,2.0,0.2,-8.9964
Corporate,Furniture,Tables,West,71.088,2.0,0.2,-1.7772
Consumer,Technology,Phones,East,68.04,7.0,0.0,19.7316
Home Office,Furniture,Chairs,Central,600.558,3.0,0.3,-8.5794
Consumer,Furniture,Tables,Central,617.7,6.0,0.5,-407.682
Consumer,Office Supplies,Binders,West,2.388,2.0,0.7,-1.8308
Consumer,Furniture,Furnishings,East,396.92,4.0,0.0,198.46
Home Office,Technology,Phones,East,2279.96,4.0,0.0,592.7896
Home Office,Furniture,Furnishings,West,238.56,3.0,0.0,26.2416
Consumer,Office Supplies,Binders,West,62.496,2.0,0.2,21.8736
Corporate,Office Supplies,Binders,South,2.469,1.0,0.7,-1.8106
Corporate,Office Supplies,Fasteners,East,21.456,9.0,0.2,6.9732
Consumer,Office Supplies,Paper,West,20.04,3.0,0.0,9.6192
Consumer,Furniture,Furnishings,Central,7.692,1.0,0.6,-3.6537
Consumer,Office Supplies,Art,West,11.52,4.0,0.0,3.456
Corporate,Furniture,Tables,West,730.2,4.0,0.0,94.926
Home Office,Office Supplies,Labels,East,31.05,3.0,0.0,14.904
Corporate,Technology,Phones,East,569.99,1.0,0.0,170.997
Consumer,Technology,Phones,South,55.984,2.0,0.2,4.1988
Consumer,Furniture,Furnishings,East,191.82,3.0,0.0,61.3824
Consumer,Office Supplies,Paper,West,6.48,1.0,0.0,3.1104
Corporate,Office Supplies,Envelopes,West,10.86,3.0,0.0,5.1042
Corporate,Furniture,Furnishings,West,126.3,3.0,0.0,40.416
Consumer,Office Supplies,Appliances,Central,839.43,3.0,0.0,218.2518
Consumer,Office Supplies,Paper,West,19.05,3.0,0.0,8.763
Home Office,Furniture,Furnishings,East,93.888,4.0,0.2,12.9096
Corporate,Technology,Phones,Central,384.45,11.0,0.0,103.8015
Corporate,Technology,Phones,Central,149.97,3.0,0.0,5.9988
Consumer,Technology,Machines,East,224.937,3.0,0.7,-164.9538
Corporate,Office Supplies,Binders,Central,171.55,5.0,0.0,80.6285
Consumer,Office Supplies,Storage,East,11.21,1.0,0.0,3.363
Home Office,Office Supplies,Art,West,37.17,9.0,0.0,11.151
Consumer,Office Supplies,Binders,Central,4.984,1.0,0.8,-8.4728
Corporate,Office Supplies,Paper,West,105.52,4.0,0.0,48.5392
Corporate,Office Supplies,Storage,West,80.88,6.0,0.0,21.0288
Consumer,Technology,Phones,West,1123.128,9.0,0.2,70.1955
Consumer,Technology,Phones,Central,125.7,6.0,0.0,35.196
Corporate,Furniture,Chairs,East,542.94,3.0,0.0,141.1644
Corporate,Office Supplies,Binders,Central,115.84,8.0,0.0,54.4448
Consumer,Technology,Phones,East,89.95,5.0,0.0,43.176
Consumer,Technology,Accessories,East,54.384,2.0,0.2,1.3596
Consumer,Office Supplies,Envelopes,West,28.4,5.0,0.0,13.348
Consumer,Office Supplies,Binders,West,27.68,2.0,0.2,9.688
Consumer,Office Supplies,Art,Central,9.936,3.0,0.2,2.7324
Consumer,Technology,Machines,Central,8159.952,8.0,0.4,-1359.992
Consumer,Office Supplies,Storage,Central,275.928,3.0,0.2,-58.6347
Home Office,Office Supplies,Appliances,East,39.48,1.0,0.0,11.0544
Home Office,Technology,Phones,Central,269.98,2.0,0.0,72.8946
Consumer,Furniture,Chairs,West,215.976,3.0,0.2,-2.6997
Consumer,Technology,Phones,Central,143.976,3.0,0.2,8.9985
Consumer,Office Supplies,Paper,West,20.94,3.0,0.0,9.8418
Consumer,Office Supplies,Paper,West,110.96,2.0,0.0,53.2608
Consumer,Furniture,Chairs,West,340.144,7.0,0.2,21.259
Corporate,Office Supplies,Appliances,Central,52.448,2.0,0.8,-131.12
Consumer,Office Supplies,Paper,East,24.56,2.0,0.0,11.5432
Consumer,Technology,Accessories,East,99.6,1.0,0.0,36.852
Consumer,Furniture,Chairs,East,396.802,7.0,0.3,-11.3372
Home Office,Office Supplies,Storage,Central,19.86,2.0,0.0,5.7594
Corporate,Furniture,Furnishings,West,289.24,7.0,0.0,26.0316
Corporate,Office Supplies,Storage,Central,24.816,2.0,0.2,1.8612
Corporate,Technology,Accessories,Central,408.744,7.0,0.2,76.6395
Home Office,Technology,Phones,South,503.96,4.0,0.0,131.0296
Home Office,Technology,Phones,South,149.95,5.0,0.0,41.986
Home Office,Technology,Accessories,South,29.0,2.0,0.0,7.25
Consumer,Office Supplies,Binders,East,7.16,2.0,0.0,3.4368
Home Office,Technology,Accessories,West,176.8,8.0,0.0,22.984
Corporate,Office Supplies,Art,East,19.728,9.0,0.2,1.7262
Home Office,Office Supplies,Labels,Central,44.4,3.0,0.0,22.2
Corporate,Technology,Phones,South,95.68,8.0,0.0,26.7904
Home Office,Technology,Phones,East,71.76,6.0,0.0,20.0928
Corporate,Office Supplies,Paper,West,10.86,2.0,0.0,5.3214
Home Office,Furniture,Bookcases,East,626.352,3.0,0.2,46.9764
Home Office,Office Supplies,Art,East,19.9,5.0,0.0,6.567
Corporate,Office Supplies,Envelopes,West,14.28,7.0,0.0,6.7116
Consumer,Office Supplies,Fasteners,Central,18.368,2.0,0.2,6.1992
Consumer,Technology,Phones,West,139.8,5.0,0.2,12.2325
Corporate,Office Supplies,Supplies,West,238.62,2.0,0.0,4.7724
Consumer,Office Supplies,Fasteners,Central,18.84,5.0,0.2,-3.5325
Corporate,Furniture,Furnishings,East,31.56,3.0,0.0,10.4148
Consumer,Office Supplies,Paper,East,21.744,3.0,0.2,6.795
Consumer,Furniture,Tables,West,218.75,2.0,0.5,-161.875
Consumer,Office Supplies,Appliances,West,2.6,1.0,0.2,0.2925
Consumer,Office Supplies,Fasteners,West,10.65,3.0,0.0,5.0055
Consumer,Office Supplies,Paper,West,37.52,4.0,0.0,18.0096
Consumer,Technology,Phones,West,444.768,4.0,0.2,44.4768
Consumer,Office Supplies,Storage,Central,83.92,4.0,0.0,5.8744
Corporate,Office Supplies,Art,South,17.52,3.0,0.0,8.2344
Consumer,Office Supplies,Binders,Central,15.92,4.0,0.0,7.4824
Consumer,Office Supplies,Fasteners,Central,52.29,9.0,0.0,16.2099
Consumer,Technology,Phones,South,629.95,5.0,0.0,176.386
Corporate,Technology,Accessories,Central,20.8,2.0,0.2,6.5
Corporate,Technology,Copiers,Central,2399.96,5.0,0.2,569.9905
Corporate,Technology,Accessories,West,179.97,3.0,0.0,86.3856
Home Office,Office Supplies,Appliances,West,10.98,1.0,0.0,2.9646
Corporate,Technology,Machines,East,1188.0,9.0,0.7,-950.4
Corporate,Technology,Accessories,East,89.584,2.0,0.2,4.4792
Corporate,Technology,Phones,East,36.738,1.0,0.4,-9.1845
Corporate,Technology,Accessories,East,895.944,7.0,0.2,190.3881
Consumer,Office Supplies,Fasteners,East,5.584,2.0,0.2,1.8148
Consumer,Office Supplies,Paper,East,22.704,6.0,0.2,8.2302
Consumer,Office Supplies,Binders,East,19.776,4.0,0.7,-13.8432
Consumer,Technology,Accessories,South,16.56,3.0,0.2,-2.484
Consumer,Technology,Machines,East,479.988,4.0,0.7,-383.9904
Consumer,Office Supplies,Art,East,27.168,2.0,0.2,2.7168
Corporate,Office Supplies,Art,Central,2.2,1.0,0.0,0.968
Consumer,Office Supplies,Binders,South,33.02,2.0,0.0,15.8496
Corporate,Office Supplies,Storage,Central,21.98,1.0,0.0,0.2198
Consumer,Furniture,Chairs,South,161.568,2.0,0.2,-28.2744
Corporate,Office Supplies,Art,South,13.632,4.0,0.2,3.5784
Corporate,Office Supplies,Binders,South,18.648,7.0,0.7,-12.432
Home Office,Furniture,Tables,South,233.86,2.0,0.45,-102.048
Home Office,Furniture,Tables,South,620.6145,3.0,0.45,-248.2458
Home Office,Office Supplies,Binders,South,5.328,2.0,0.7,-3.552
Home Office,Office Supplies,Art,West,5.56,2.0,0.0,2.224
Consumer,Technology,Phones,East,209.97,3.0,0.0,58.7916
Corporate,Office Supplies,Paper,West,10.56,2.0,0.0,4.752
Corporate,Office Supplies,Binders,East,196.21,7.0,0.0,98.105
Consumer,Furniture,Furnishings,Central,419.68,5.0,0.6,-356.728
Consumer,Furniture,Furnishings,Central,11.688,3.0,0.6,-4.6752
Consumer,Technology,Phones,Central,31.984,2.0,0.2,11.1944
Corporate,Technology,Phones,East,43.6,4.0,0.0,12.208
Home Office,Office Supplies,Paper,East,45.528,3.0,0.2,15.9348
Home Office,Technology,Accessories,Central,50.12,7.0,0.2,-0.6265
Home Office,Furniture,Chairs,Central,2001.86,7.0,0.0,580.5394
Consumer,Technology,Phones,Central,7.992,1.0,0.2,0.6993
Home Office,Office Supplies,Paper,Central,47.88,6.0,0.0,23.94
Home Office,Office Supplies,Appliances,Central,1503.25,5.0,0.0,496.0725
Home Office,Office Supplies,Paper,Central,25.92,4.0,0.0,12.4416
Consumer,Furniture,Chairs,West,321.568,2.0,0.2,28.1372
Consumer,Office Supplies,Paper,West,7.61,1.0,0.0,3.5767
Corporate,Office Supplies,Appliances,East,76.12,2.0,0.0,22.0748
Consumer,Technology,Phones,West,43.6,5.0,0.2,4.36
Consumer,Office Supplies,Supplies,West,47.32,7.0,0.2,5.915
Corporate,Furniture,Furnishings,Central,12.132,9.0,0.6,-8.4924
Corporate,Office Supplies,Storage,Central,82.368,2.0,0.2,-19.5624
Corporate,Office Supplies,Storage,Central,53.92,5.0,0.2,4.044
Corporate,Furniture,Chairs,West,569.568,2.0,0.2,7.1196
Consumer,Office Supplies,Binders,East,3.882,2.0,0.7,-2.588
Consumer,Office Supplies,Fasteners,Central,7.896,3.0,0.2,2.4675
Consumer,Office Supplies,Envelopes,West,158.13,3.0,0.0,77.4837
Corporate,Office Supplies,Appliances,Central,1.624,2.0,0.8,-4.466
Consumer,Technology,Phones,East,861.76,4.0,0.0,249.9104
Consumer,Office Supplies,Supplies,East,55.6,5.0,0.2,6.255
Corporate,Technology,Accessories,South,299.97,3.0,0.0,125.9874
Corporate,Office Supplies,Binders,Central,3.564,3.0,0.8,-6.237
Corporate,Office Supplies,Art,South,14.016,3.0,0.2,4.7304
Consumer,Office Supplies,Art,East,7.98,3.0,0.0,2.0748
Corporate,Office Supplies,Storage,East,37.208,1.0,0.2,-7.4416
Corporate,Office Supplies,Appliances,Central,15.224,2.0,0.8,-38.8212
Corporate,Office Supplies,Storage,West,725.84,4.0,0.0,210.4936
Consumer,Technology,Accessories,West,209.93,7.0,0.0,92.3692
Corporate,Office Supplies,Storage,West,323.1,2.0,0.0,61.389
Consumer,Office Supplies,Storage,Central,129.552,3.0,0.2,-22.6716
Corporate,Office Supplies,Paper,West,8.82,2.0,0.0,4.0572
Corporate,Office Supplies,Art,West,5.98,1.0,0.0,1.5548
Corporate,Office Supplies,Paper,East,11.648,2.0,0.2,4.0768
Corporate,Office Supplies,Paper,East,18.176,4.0,0.2,5.9072
Corporate,Office Supplies,Storage,East,59.712,6.0,0.2,5.9712
Corporate,Office Supplies,Labels,East,24.84,3.0,0.2,8.694
Consumer,Office Supplies,Binders,Central,2.08,5.0,0.8,-3.432
Consumer,Office Supplies,Storage,East,239.456,7.0,0.2,17.9592
Consumer,Furniture,Tables,West,1038.84,5.0,0.2,51.942
Consumer,Office Supplies,Paper,West,141.76,5.0,0.2,47.844
Consumer,Technology,Accessories,West,239.8,5.0,0.2,47.96
Consumer,Office Supplies,Envelopes,South,121.96,2.0,0.0,57.3212
Home Office,Technology,Phones,South,499.168,4.0,0.2,31.198
Consumer,Office Supplies,Appliances,East,286.86,7.0,0.0,80.3208
Corporate,Office Supplies,Binders,South,122.94,3.0,0.0,59.0112
Home Office,Office Supplies,Fasteners,East,19.096,7.0,0.2,6.6836
Home Office,Office Supplies,Labels,East,18.496,8.0,0.2,6.2424
Home Office,Technology,Accessories,East,255.984,2.0,0.2,54.3966
Home Office,Furniture,Bookcases,East,86.97,3.0,0.5,-48.7032
Corporate,Furniture,Furnishings,West,300.416,8.0,0.2,78.8592
Corporate,Office Supplies,Storage,East,8.384,1.0,0.2,0.7336
Consumer,Office Supplies,Binders,East,30.88,2.0,0.0,15.44
Consumer,Technology,Accessories,South,239.92,8.0,0.0,23.992
Consumer,Office Supplies,Art,West,71.92,4.0,0.0,20.8568
Corporate,Office Supplies,Binders,West,4.158,7.0,0.7,-3.465
Corporate,Office Supplies,Storage,East,1082.48,8.0,0.0,10.8248
Corporate,Office Supplies,Paper,East,56.91,3.0,0.0,27.3168
Corporate,Furniture,Furnishings,East,77.6,4.0,0.0,38.024
Corporate,Office Supplies,Binders,East,14.28,1.0,0.0,6.5688
Consumer,Furniture,Tables,Central,219.075,3.0,0.5,-131.445
Corporate,Furniture,Furnishings,East,26.8,2.0,0.0,12.864
Corporate,Office Supplies,Art,Central,9.84,3.0,0.0,2.8536
Consumer,Technology,Phones,West,775.728,6.0,0.2,58.1796
Consumer,Office Supplies,Binders,South,14.94,3.0,0.0,7.1712
Consumer,Office Supplies,Art,South,4.89,1.0,0.0,2.0049
Corporate,Furniture,Furnishings,West,15.136,4.0,0.2,3.5948
Corporate,Furniture,Chairs,West,466.768,2.0,0.2,52.5114
Consumer,Office Supplies,Binders,West,8.288,2.0,0.2,3.0044
Corporate,Office Supplies,Labels,West,6.264,3.0,0.2,2.0358
Corporate,Furniture,Furnishings,East,87.54,3.0,0.0,37.6422
Corporate,Technology,Accessories,East,139.96,4.0,0.0,9.7972
Corporate,Office Supplies,Paper,South,15.552,3.0,0.2,5.4432
Corporate,Office Supplies,Art,East,99.136,4.0,0.2,8.6744
Corporate,Office Supplies,Paper,East,62.82,9.0,0.0,29.5254
Consumer,Office Supplies,Storage,Central,541.24,4.0,0.0,5.4124
Home Office,Technology,Phones,East,275.94,6.0,0.0,80.0226
Home Office,Technology,Accessories,East,360.0,4.0,0.0,129.6
Home Office,Office Supplies,Storage,East,43.57,1.0,0.0,13.071
Home Office,Office Supplies,Paper,East,7.968,2.0,0.2,2.6892
Corporate,Office Supplies,Binders,West,251.52,6.0,0.2,81.744
Corporate,Technology,Accessories,West,99.99,1.0,0.0,34.9965
Home Office,Office Supplies,Binders,Central,77.56,2.0,0.0,35.6776
Corporate,Office Supplies,Appliances,South,76.608,8.0,0.2,6.7032
Consumer,Office Supplies,Labels,West,14.62,2.0,0.0,6.8714
Corporate,Office Supplies,Supplies,Central,22.368,2.0,0.2,1.6776
Consumer,Office Supplies,Labels,East,100.24,10.0,0.2,33.831
Consumer,Office Supplies,Binders,East,37.764,6.0,0.7,-27.6936
Consumer,Office Supplies,Art,West,8.82,3.0,0.0,2.5578
Consumer,Office Supplies,Envelopes,East,8.856,3.0,0.2,2.8782
Consumer,Technology,Phones,Central,149.95,5.0,0.0,41.986
Consumer,Office Supplies,Binders,South,68.541,11.0,0.7,-52.5481
Consumer,Technology,Copiers,West,959.984,2.0,0.2,335.9944
Consumer,Office Supplies,Paper,West,31.104,6.0,0.2,10.8864
Corporate,Office Supplies,Supplies,South,185.376,2.0,0.2,-34.758
Corporate,Furniture,Tables,West,698.352,3.0,0.2,-17.4588
Consumer,Office Supplies,Fasteners,West,4.96,4.0,0.0,2.3312
Corporate,Furniture,Furnishings,Central,22.608,3.0,0.6,-10.1736
Corporate,Office Supplies,Binders,East,509.97,10.0,0.7,-407.976
Home Office,Office Supplies,Paper,Central,18.54,2.0,0.0,8.7138
Home Office,Technology,Phones,West,17.52,2.0,0.2,-3.504
Consumer,Office Supplies,Storage,Central,88.8,4.0,0.2,-2.22
Consumer,Technology,Phones,West,47.976,3.0,0.2,4.7976
Consumer,Office Supplies,Art,East,7.56,3.0,0.0,3.0996
Corporate,Furniture,Furnishings,Central,95.2,5.0,0.0,27.608
Corporate,Office Supplies,Supplies,West,40.7,5.0,0.0,11.803
Home Office,Technology,Accessories,East,6.79,1.0,0.0,2.3086
Home Office,Office Supplies,Paper,East,24.56,2.0,0.0,11.5432
Home Office,Office Supplies,Binders,East,3.048,1.0,0.2,1.0668
Corporate,Furniture,Furnishings,West,91.96,2.0,0.0,15.6332
Home Office,Office Supplies,Binders,East,4355.168,4.0,0.2,1415.4296
Consumer,Office Supplies,Paper,East,97.82,2.0,0.0,45.9754
Consumer,Office Supplies,Envelopes,East,8.26,2.0,0.0,3.7996
Home Office,Office Supplies,Binders,South,34.86,2.0,0.7,-26.726
Consumer,Office Supplies,Paper,East,34.4,5.0,0.0,15.824
Consumer,Technology,Phones,West,88.776,3.0,0.2,7.7679
Corporate,Office Supplies,Appliances,South,647.84,8.0,0.0,168.4384
Corporate,Office Supplies,Labels,South,20.7,2.0,0.0,9.936
Consumer,Office Supplies,Labels,East,20.7,2.0,0.0,9.936
Consumer,Furniture,Chairs,East,488.646,3.0,0.1,86.8704
Consumer,Office Supplies,Art,East,5.56,2.0,0.0,1.4456
Consumer,Furniture,Furnishings,East,47.12,8.0,0.0,20.7328
Consumer,Office Supplies,Storage,West,211.96,4.0,0.0,8.4784
Consumer,Furniture,Furnishings,Central,127.95,3.0,0.0,21.7515
Home Office,Technology,Phones,Central,251.944,7.0,0.2,88.1804
Corporate,Office Supplies,Storage,East,104.79,7.0,0.0,29.3412
Corporate,Furniture,Bookcases,East,1043.92,4.0,0.0,271.4192
Consumer,Office Supplies,Paper,Central,25.92,5.0,0.2,9.396
Consumer,Office Supplies,Storage,Central,53.424,3.0,0.2,4.6746
Corporate,Office Supplies,Binders,West,19.168,4.0,0.2,6.4692
Home Office,Office Supplies,Supplies,West,86.2,5.0,0.0,24.998
Consumer,Office Supplies,Storage,Central,85.52,2.0,0.0,22.2352
Consumer,Office Supplies,Paper,South,10.368,2.0,0.2,3.6288
Corporate,Office Supplies,Paper,Central,99.136,4.0,0.2,30.98
Corporate,Furniture,Tables,East,1488.424,7.0,0.3,-297.6848
Consumer,Office Supplies,Appliances,Central,8.652,3.0,0.8,-20.3322
Home Office,Technology,Accessories,South,151.96,4.0,0.0,36.4704
Consumer,Furniture,Furnishings,Central,64.96,5.0,0.6,-84.448
Consumer,Furniture,Chairs,Central,85.246,2.0,0.3,-1.2178
Corporate,Office Supplies,Binders,West,49.536,3.0,0.2,17.3376
Corporate,Technology,Accessories,Central,41.9,2.0,0.0,8.799
Corporate,Office Supplies,Paper,South,41.472,8.0,0.2,14.5152
Consumer,Technology,Accessories,South,83.976,3.0,0.2,-1.0497
Corporate,Technology,Machines,East,482.34,4.0,0.7,-337.638
Corporate,Furniture,Furnishings,East,2.96,1.0,0.2,0.777
Home Office,Technology,Machines,West,1279.968,4.0,0.2,415.9896
Consumer,Office Supplies,Binders,East,23.36,4.0,0.2,7.884
Consumer,Furniture,Furnishings,Central,76.728,3.0,0.6,-53.7096
Consumer,Office Supplies,Paper,Central,9.54,2.0,0.0,4.293
Consumer,Technology,Copiers,West,1799.97,3.0,0.0,701.9883
Consumer,Office Supplies,Binders,Central,1.728,4.0,0.8,-2.7648
Consumer,Office Supplies,Paper,East,318.96,9.0,0.0,149.9112
Corporate,Office Supplies,Storage,East,49.96,2.0,0.0,9.4924
Corporate,Office Supplies,Paper,East,12.96,2.0,0.0,6.2208
Consumer,Office Supplies,Binders,East,9.728,2.0,0.2,3.2832
Corporate,Office Supplies,Art,Central,74.352,3.0,0.2,6.5058
Consumer,Furniture,Bookcases,Central,2396.2656,4.0,0.32,-317.1528
Consumer,Office Supplies,Storage,Central,131.136,4.0,0.2,-32.784
