carat,cut,color,clarity,depth,table,price,x,y,z
0.75,Premium,E,SI1,59.9,54,2760,6,5.96,3.58
1.02,Ideal,E,VVS1,62.2,58,12035,6.42,6.44,4
1.01,Fair,G,VS2,64.4,58,4887,6.25,6.18,4
0.45,Good,E,SI1,63.9,57,1063,4.86,4.81,3.09
0.32,Ideal,E,VS2,62.1,56,900,4.43,4.4,2.74
0.42,Ideal,I,VVS1,62.5,57,945,4.8,4.77,2.99
0.35,Ideal,D,SI2,62.2,56,522,4.52,4.55,2.82
0.31,Premium,H,VVS1,61.8,59,786,4.36,4.32,2.68
0.38,Ideal,D,VS1,62.4,54.1,1092,4.62,4.67,2.9
0.53,Ideal,G,VVS2,62.5,54,1914,5.21,5.19,3.25
0.31,Ideal,E,VVS1,61.3,56,1064,4.39,4.43,2.7
1.01,Very Good,E,VS2,63.3,60,6516,6.33,6.3,4
0.35,Very Good,E,VS1,59.7,59,790,4.59,4.62,2.75
0.42,Ideal,D,SI2,61.1,55,660,4.82,4.86,2.96
0.73,Ideal,F,VS2,62.7,53,2762,5.8,5.75,3.62
0.32,Ideal,H,VS1,61.5,57,720,4.42,4.4,2.71
0.31,Ideal,H,VVS2,62.5,55,625,4.34,4.37,2.72
2.66,Good,H,SI2,64.3,60,18495,8.71,8.65,5.58
1.01,Ideal,H,SI1,61.2,56,5664,6.44,6.47,3.95
0.74,Premium,I,SI2,61,60,2051,5.8,5.75,3.52
0.74,Ideal,E,SI1,62.3,54,2762,5.8,5.83,3.62
0.3,Ideal,E,VVS1,61.6,55,838,4.34,4.36,2.68
2.1,Very Good,G,SI2,63.4,58,13007,8.19,8.12,5.17
0.32,Very Good,F,IF,61.7,55,921,4.4,4.41,2.72
0.7,Premium,F,VS2,61.6,60,2762,5.65,5.59,3.46
0.7,Ideal,G,SI1,60.9,57,2415,5.79,5.77,3.52
1.21,Premium,D,VS1,60.2,59,10083,6.89,6.86,4.14
1.02,Ideal,G,VS1,61.3,56,7192,6.49,6.53,3.99
0.57,Premium,E,SI1,62.5,57,1429,5.28,5.22,3.28
0.53,Ideal,G,VVS2,60.4,56,1818,5.29,5.24,3.18
0.71,Very Good,D,SI1,63.6,58,2764,5.64,5.68,3.6
0.54,Ideal,H,VS1,61.2,55,1454,5.25,5.31,3.23
2.05,Premium,G,SI1,61.6,59,15291,8.2,8.16,5.04
1.52,Ideal,E,SI1,62.2,53,11642,7.38,7.31,4.57
0.37,Ideal,G,IF,60.5,56,926,4.66,4.7,2.83
1.01,Very Good,E,SI1,63.2,59,4830,6.28,6.25,3.96
0.34,Premium,H,VS2,59,59,537,4.55,4.61,2.7
0.76,Ideal,H,SI1,61.2,57,2765,5.88,5.91,3.61
0.62,Premium,H,IF,58.9,58,2389,5.65,5.58,3.31
0.97,Very Good,F,VVS2,58.1,60,6889,6.49,6.53,3.78
1.51,Premium,H,SI2,62.8,60,8074,7.26,7.22,4.55
0.34,Premium,F,VS2,59.2,60,686,4.56,4.6,2.71
2.16,Very Good,H,SI2,62.3,60,14824,8.19,8.31,5.14
0.75,Good,I,VVS1,63.9,61,2381,5.7,5.67,3.63
0.3,Ideal,D,VS2,61.5,55,911,4.35,4.3,2.66
0.32,Ideal,G,VVS1,62.1,54,802,4.4,4.43,2.74
0.42,Very Good,G,SI1,62,54,751,4.8,4.82,2.98
0.56,Ideal,E,VS1,61.8,56,2010,5.28,5.33,3.28
0.77,Premium,E,SI2,62.5,60,2171,5.84,5.8,3.64
0.71,Premium,D,SI2,61.7,59,2768,5.71,5.67,3.51
0.74,Ideal,I,SI1,61.3,56,2769,5.82,5.86,3.57
0.34,Ideal,H,VS1,62.1,57,765,4.51,4.48,2.79
0.73,Premium,G,VS2,61.4,59,2770,5.83,5.76,3.56
0.32,Ideal,E,VS2,61.1,56,846,4.46,4.48,2.73
1.6,Premium,J,VS1,61.3,59,8870,7.49,7.52,4.6
0.35,Premium,J,VS1,62.4,58,949,5.67,5.64,3.53
1.04,Very Good,F,SI1,63.4,59,5137,6.44,6.4,4.07
0.73,Premium,G,VS1,61.5,58,2770,5.79,5.75,3.55
0.38,Ideal,E,VS1,61.6,56,1000,4.62,4.66,2.86
0.28,Ideal,G,IF,61.3,57,650,4.25,4.27,2.6
1.52,Very Good,J,VVS2,62.1,60,11392,7.33,7.36,4.56
2.01,Very Good,H,SI2,63.4,58,12617,8.01,7.94,5.06
2.04,Very Good,G,SI2,59.9,58,16389,8.26,8.31,4.96
0.73,Very Good,H,SI1,62.2,57,2001,5.77,5.8,3.6
1.01,Ideal,F,SI2,62.4,54,5154,6.41,6.44,4.01
1.17,Premium,I,SI1,62.6,58,4914,6.71,6.64,4.18
1.04,Ideal,H,VS2,61.8,55,5994,6.51,6.52,4.03
0.58,Ideal,F,VVS1,61.7,56,2772,5.33,5.37,3.3
0.71,Premium,F,SI2,60.6,58,2363,5.77,5.72,3.48
0.51,Very Good,E,SI2,63.3,56,1239,5.12,5.08,3.23
0.7,Very Good,E,SI2,61.5,56,2298,5.71,5.73,3.52
1.17,Very Good,J,I1,60.2,61,2774,6.83,6.9,4.13
0.53,Ideal,G,SI1,62.1,53,1166,5.22,5.27,3.26
2.29,Premium,G,SI2,62.5,59,14108,8.38,8.33,5.22
1.2,Very Good,H,VS1,62,57,6177,6.77,6.81,4.21
0.74,Very Good,F,VS2,61.3,61,2775,5.8,5.84,3.57
0.6,Ideal,G,VVS2,61.4,59,2313,5.37,5.41,3.31
0.5,Good,F,SI1,64.3,57,975,5.03,4.94,3.21
0.71,Ideal,E,VS2,62.2,57,2776,5.79,5.62,3.55
0.54,Ideal,E,VVS2,61.6,56,2776,5.25,5.27,3.24
2.2,Ideal,H,SI2,60,58,16530,8.47,8.5,5.09
0.35,Premium,F,VS2,61.4,59,906,4.56,4.53,2.79
0.72,Ideal,G,SI1,60.7,56,2776,5.79,5.82,3.53
1.47,Premium,F,SI2,61.6,60,8314,7.38,7.33,4.53
1.01,Very Good,F,SI1,63.3,59,4989,6.42,6.38,4.05
0.5,Premium,E,VS2,61.3,60,1624,5.07,5.11,3.12
0.57,Ideal,H,VS1,61.3,56,1554,5.36,5.38,3.29
2.03,Premium,J,VS1,59.3,60,14588,8.36,8.28,4.93
0.31,Ideal,F,VS2,62,56,625,4.35,4.39,2.71
0.42,Ideal,G,IF,62.6,53,1289,4.79,4.82,3.01
0.4,Ideal,D,VS2,62.2,55,909,4.72,4.74,2.94
0.7,Premium,E,VS2,61.1,60,2777,5.71,5.64,3.47
1.5,Good,D,SI1,56.6,64,7980,7.51,7.43,4.23
0.7,Premium,E,SI1,61.2,57,2777,5.73,5.68,3.49
0.24,Very Good,F,VVS2,60.5,59,552,3.98,4.05,2.43
1.54,Premium,H,I1,62,60,5071,7.4,7.32,4.56
0.58,Very Good,H,SI1,61.8,56,1219,5.34,5.38,3.31
0.51,Very Good,G,SI1,63,53,1220,5.1,5.13,3.22
0.38,Premium,H,SI1,59.7,60,812,4.68,4.66,2.79
0.47,Good,G,VS2,60.1,60.3,1226,5.02,5.07,3.03
0.7,Premium,E,SI1,61.3,58,2777,5.71,5.68,3.49
1.2,Ideal,H,VS2,59.9,57,6487,6.91,6.87,4.13
0.64,Ideal,F,VS1,61.9,56.8,2222,5.55,5.6,3.45
0.4,Ideal,D,VVS2,62.2,55,1323,4.74,4.72,2.94
1.03,Premium,H,VS1,62.5,59,5523,6.43,6.47,4.03
0.7,Very Good,E,SI1,63.2,60,2777,5.6,5.51,3.51
0.32,Ideal,G,VS1,61.6,56,645,4.38,4.42,2.71
0.64,Premium,D,VS2,60.9,59,2243,5.6,5.63,3.42
1.02,Very Good,H,VS1,62.8,59,5598,6.34,6.47,4.02
0.71,Ideal,F,SI2,61.6,57,2386,5.72,5.75,3.53
0.4,Ideal,F,SI1,62.9,57,945,4.7,4.68,2.95
0.51,Ideal,F,VS2,62.9,57,1687,5.11,5.09,3.21
0.31,Ideal,E,VVS2,61.6,57,1046,4.37,4.33,2.68
0.7,Very Good,F,VS2,63,58,2507,5.59,5.62,3.53
0.31,Ideal,D,VS2,61.8,55,734,4.33,4.37,2.69
0.75,Ideal,F,SI2,62.1,55,2586,5.83,5.87,3.63
0.31,Very Good,D,VS2,61.6,55,692,4.37,4.4,2.7
1.56,Premium,G,SI2,61.7,59,8858,7.51,7.43,4.61
0.56,Very Good,E,VS2,61.1,57,1963,5.33,5.37,3.27
1.05,Ideal,G,VS2,62.2,54,7070,6.53,6.55,4.07
0.31,Ideal,G,VVS2,62.5,53,677,4.37,4.4,2.74
0.7,Premium,E,VS1,62.9,60,2782,5.62,5.54,3.51
2.03,Ideal,J,SI1,62.6,55,13357,8.06,8.1,5.06
2.1,Fair,G,I1,67.4,59,6597,7.82,7.76,5.24
1.23,Premium,J,VS1,62.7,58,5510,6.82,6.79,4.27
0.41,Very Good,E,SI1,62.9,57,755,4.73,4.78,2.99
1.27,Premium,H,VS2,60,61,7503,7.03,6.99,4.26
0.3,Premium,E,VS2,62.4,59,658,4.26,4.3,2.67
0.4,Very Good,E,VS1,62.7,55,1250,4.69,4.72,2.95
0.51,Very Good,D,VS2,62.9,56,1597,5.07,5.1,3.2
0.29,Premium,G,VS1,62.1,59,547,4.25,4.22,2.63
0.43,Ideal,F,SI1,61.4,55,745,4.88,4.92,3.01
0.57,Ideal,E,VS2,62.1,55,1654,5.33,5.37,3.32
1.5,Very Good,F,SI1,63,55,10372,7.27,7.31,4.59
0.31,Good,E,VS2,59.1,56,651,4.41,4.46,2.62
0.83,Very Good,I,VS1,61.1,60,2788,6.07,6.1,3.72
1.08,Premium,H,VS2,62.1,58,5250,6.63,6.51,4.08
0.32,Ideal,E,VS2,61.8,55,702,4.4,4.43,2.73
0.77,Good,G,VS1,59.4,64,2788,5.97,5.92,3.53
0.51,Ideal,G,VVS2,62.2,56,1827,5.09,5.13,3.18
2.01,Ideal,G,SI1,62.1,57,18736,8.07,8.09,5.02
1.01,Premium,H,SI2,62.7,59,2788,6.31,6.22,3.93
0.42,Very Good,D,SI2,62,59,672,4.78,4.83,2.98
0.33,Ideal,F,VVS1,61.8,57,1021,4.46,4.44,2.75
0.76,Premium,E,SI1,60.4,58,2789,5.92,5.94,3.58
0.76,Premium,E,SI1,61.8,58,2789,5.82,5.86,3.61
0.51,Ideal,D,VVS2,61.7,56,2718,5.14,5.16,3.18
0.81,Ideal,G,SI2,61.6,56,2789,5.97,6.01,3.69
0.33,Ideal,E,VS2,61,57,928,4.46,4.43,2.71
0.3,Premium,G,VVS2,61.3,57,878,4.33,4.29,2.64
0.81,Good,G,SI2,61,61,2789,5.94,5.99,3.64
0.63,Premium,E,VVS2,62.1,57,2789,5.48,5.41,3.38
1,Premium,E,SI1,62.6,60,5445,6.3,6.35,3.97
2.12,Premium,G,I1,60,58,7508,8.39,8.28,4.99
0.3,Good,H,SI1,63.9,55,540,4.27,4.24,2.72
0.54,Ideal,F,SI1,61.5,55,1260,5.23,5.28,3.23
0.26,Good,E,VVS1,59.4,61,597,4.13,4.15,2.46
2.01,Good,G,SI1,60.8,61,18077,7.99,8.09,4.89
1.22,Very Good,G,VVS2,59.3,58,9706,6.97,6.99,4.14
0.36,Ideal,D,VVS2,60.7,56,971,4.59,4.63,2.8
0.54,Ideal,D,VS2,61.6,55,2307,5.25,5.27,3.24
0.73,Ideal,E,SI1,62.2,56,2791,5.74,5.78,3.58
1.23,Good,J,VS2,63.6,57,5386,6.79,6.74,4.3
0.71,Premium,E,SI1,61.8,59,2792,5.7,5.75,3.54
0.71,Ideal,E,SI1,61.3,55,2792,5.72,5.77,3.52
0.42,Ideal,E,SI2,62.7,55,882,4.79,4.78,3
0.43,Very Good,G,SI1,62.7,56,754,4.8,4.83,3.02
0.31,Premium,F,VS2,58.3,61,749,4.48,4.44,2.6
2.22,Premium,F,SI2,59.2,59,13553,8.54,8.46,5.03
0.31,Ideal,F,IF,61.2,57,1168,4.35,4.38,2.67
0.25,Ideal,G,SI1,62.3,53,363,4.06,4.09,2.54
0.36,Ideal,D,VS1,61.1,56,1095,4.6,4.63,2.82
1.03,Premium,G,VS2,62.3,57,6146,6.51,6.43,4.03
2.01,Fair,G,SI2,63.8,59,14799,7.77,7.87,4.99
0.38,Premium,H,SI1,59.7,60,633,4.66,4.68,2.79
0.7,Premium,H,SI1,60.9,62,2331,5.72,5.65,3.46
0.9,Very Good,E,VS2,60.4,59,4925,6.26,6.3,3.79
0.43,Very Good,I,IF,61,56,998,4.9,4.93,3
1.21,Ideal,F,VS2,61.2,57,8452,6.87,6.82,4.19
0.72,Premium,D,SI2,62,60,2795,5.73,5.69,3.54
0.72,Premium,I,IF,63,57,2795,5.72,5.7,3.6
0.5,Ideal,E,SI1,62.4,56,1259,5.03,5.07,3.15
0.72,Premium,G,VS2,62.9,57,2795,5.73,5.65,3.58
1.5,Fair,E,SI2,66.3,60,10080,7.09,7.02,4.68
0.3,Ideal,I,IF,62.5,56,615,4.26,4.28,2.67
0.34,Ideal,G,VVS1,62.1,57,895,4.45,4.47,2.77
0.81,Very Good,E,SI1,60.3,60,2797,6.07,6.1,3.67
0.71,Premium,D,SI1,62.7,60,2797,5.67,5.71,3.57
0.71,Premium,D,SI1,61.3,58,2797,5.73,5.75,3.52
0.52,Ideal,D,SI1,61.2,57,1429,5.18,5.22,3.18
0.23,Very Good,F,VVS2,60.4,61,505,3.93,3.95,2.38
0.52,Very Good,D,VS2,60.6,56,1822,5.22,5.25,3.17
0.51,Premium,E,VS2,61.6,58,1567,5.18,5.15,3.18
1.51,Good,G,SI2,63.7,57,7695,7.28,7.21,4.62
1.19,Very Good,E,VS2,59.2,60,7152,6.93,6.95,4.11
0.28,Very Good,G,VVS2,61.1,56,522,4.25,4.27,2.6
0.7,Good,I,VS1,63.1,57,2390,5.59,5.67,3.55
1.01,Fair,E,SI2,67.4,60,2797,6.19,6.05,4.13
0.51,Ideal,E,VVS1,61.9,54,2720,5.11,5.17,3.18
0.7,Good,E,SI2,59.9,57,2026,5.75,5.8,3.46
0.83,Very Good,E,SI2,58,62,2799,6.19,6.25,3.61
0.32,Very Good,J,VS1,60.6,59,421,4.42,4.46,2.69
1.62,Premium,F,SI2,61.6,60,9106,7.52,7.55,4.64
0.3,Premium,G,VVS2,60.8,58,878,4.38,4.34,2.65
0.54,Ideal,F,SI1,62.1,57,1385,5.22,5.24,3.25
0.7,Premium,E,VS1,62.2,58,2800,5.6,5.66,3.5
0.9,Very Good,I,SI2,61.3,56,2800,6.17,6.23,3.8
0.32,Ideal,G,VVS1,60.2,56,1080,4.49,4.45,2.69
0.83,Ideal,G,SI1,61.8,57,2800,6.03,6.07,3.74
1.24,Premium,D,VS2,59.3,58,9916,7.09,7.03,4.19
0.74,Premium,G,VS1,62.9,60,2800,5.74,5.68,3.59
0.5,Premium,I,VVS1,58.2,62,1415,5.25,5.19,3.04
2.1,Premium,H,SI2,60.4,59,16629,8.33,8.28,5.02
0.5,Premium,D,SI2,62.1,57,1279,5.12,5.09,3.17
0.39,Ideal,F,VVS1,62.1,55,1124,4.69,4.71,2.92
0.32,Good,F,VVS1,63.8,54,939,4.38,4.31,2.77
0.32,Ideal,H,VS2,62.8,55,648,4.41,4.38,2.76
1.96,Very Good,H,SI2,62.7,58,13099,7.86,7.93,4.95
1.09,Ideal,E,SI2,61.6,55,5127,6.64,6.6,4.08
0.75,Premium,I,SI1,62.5,58,2122,5.77,5.82,3.62
1.03,Very Good,F,IF,62.8,57,10032,6.4,6.47,4.04
0.71,Premium,F,VS2,62.8,57,2801,5.69,5.64,3.56
1.66,Very Good,E,SI1,61.7,58,12818,7.52,7.59,4.66
0.32,Good,D,SI1,63.8,55,550,4.35,4.36,2.78
0.87,Very Good,G,SI2,59.9,58,2802,6.19,6.23,3.72
0.53,Ideal,F,IF,61.9,54,2802,5.22,5.25,3.24
1.34,Ideal,I,VVS2,61.4,56,8079,7.07,7.09,4.35
1.65,Ideal,G,IF,62.4,55,17569,7.53,7.61,4.72
0.28,Ideal,F,VVS2,61.8,56,787,4.18,4.22,2.6
0.51,Ideal,E,SI2,62.7,53,1177,5.09,5.12,3.2
0.7,Premium,G,SI2,58,60,2268,5.91,5.88,3.42
0.32,Ideal,F,VS2,61.4,57,660,4.4,4.43,2.71
2.34,Premium,I,SI1,61.7,60,15818,8.59,8.53,5.28
0.71,Premium,F,VS2,62.6,58,2803,5.7,5.67,3.56
1.79,Ideal,J,VS2,61.8,56,10658,7.74,7.85,4.82
0.71,Premium,G,VS1,62.4,61,2803,5.7,5.65,3.54
0.77,Premium,G,VS2,61.3,57,2803,5.93,5.88,3.62
0.42,Ideal,G,IF,62,57,1251,4.8,4.82,2.98
0.41,Very Good,E,SI1,59.3,61,705,4.8,4.84,2.86
0.35,Ideal,E,VS1,61.3,55,945,4.58,4.55,2.8
1.05,Premium,H,VS1,60.1,57,5886,6.62,6.59,3.97
0.94,Very Good,G,VVS1,63.3,57,6088,6.21,6.14,3.91
0.35,Ideal,F,VS2,61.4,54,906,4.58,4.54,2.8
2.04,Fair,I,SI2,66.6,56,9802,7.8,7.77,5.19
1.08,Ideal,F,VVS2,62.1,55,10052,6.57,6.6,4.09
1.01,Premium,D,SI1,61.6,62,5701,6.44,6.38,3.95
0.39,Ideal,F,VS1,60.9,56,956,4.75,4.68,2.87
0.38,Ideal,G,SI2,62,55,532,4.66,4.69,2.9
1.82,Premium,I,VS1,61.4,60,13813,7.8,7.83,4.8
0.34,Ideal,G,IF,62.2,53,974,4.49,4.52,2.8
0.31,Ideal,F,IF,61.4,56,1168,4.37,4.42,2.7
0.34,Premium,H,VS2,61.3,60,689,4.53,4.47,2.76
1,Very Good,G,VVS2,59.5,61,7453,6.42,6.46,3.83
0.74,Premium,F,VS2,61.9,56,2805,5.8,5.77,3.58
0.3,Ideal,G,VS1,61.4,57,605,4.29,4.34,2.65
0.71,Very Good,G,SI2,63.2,59,2107,5.6,5.64,3.55
0.62,Premium,E,VVS2,60.7,60,2727,5.51,5.43,3.32
0.72,Ideal,G,VS2,62.8,56,2805,5.74,5.7,3.59
0.74,Fair,F,VS2,61.1,68,2805,5.82,5.75,3.53
0.57,Premium,E,VS1,61.6,58,2753,5.36,5.33,3.29
0.37,Premium,G,VS1,58.4,59,817,4.76,4.69,2.76
1.11,Very Good,D,SI2,59.9,57,5042,6.72,6.74,4.03
0.71,Premium,I,VS2,62.8,59,2300,5.67,5.64,3.55
1.54,Premium,E,SI1,62.7,58,10314,7.37,7.3,4.6
0.47,Very Good,G,VVS1,60.6,55,1780,5.05,5.09,3.07
0.54,Ideal,G,VVS2,62.2,55,1868,5.22,5.27,3.26
0.3,Ideal,G,SI1,62,57,432,4.27,4.31,2.66
0.7,Very Good,F,VS1,62,57,2808,5.64,5.71,3.52
1.51,Premium,E,VS2,60.7,60,14709,7.37,7.46,4.5
0.75,Very Good,G,VS2,63.4,56,2808,5.78,5.74,3.65
1.04,Ideal,F,IF,61.8,55,10984,6.56,6.49,4.03
0.36,Ideal,F,IF,61.4,55.9,1138,4.58,4.62,2.82
0.51,Ideal,G,VS1,61.7,56,1668,5.1,5.2,3.18
0.33,Ideal,E,VS2,61.6,57,723,4.44,4.46,2.74
0.5,Ideal,G,VVS2,61,56,1779,5.13,5.14,3.13
0.34,Ideal,H,VS2,61.8,55,517,4.49,4.51,2.78
0.53,Ideal,H,SI1,61.5,54,1205,5.21,5.26,3.22
0.7,Very Good,F,VS1,59.9,60,2810,5.77,5.84,3.48
0.51,Premium,E,VS2,60.3,59,1656,5.2,5.22,3.14
0.38,Premium,D,VVS2,60,62,1257,4.73,4.7,2.83
0.5,Ideal,E,SI1,59.1,61,1331,5.16,5.19,3.06
0.26,Very Good,H,VS1,62.9,54,430,4.06,4.08,2.56
0.83,Very Good,D,SI1,63.5,54,2811,5.98,5.95,3.79
1.04,Ideal,H,VS1,62.7,55,5577,6.43,6.49,4.05
0.57,Premium,E,SI1,60.3,57,1728,5.4,5.34,3.24
1.09,Ideal,G,VS1,62.4,57,6934,6.55,6.63,4.11
0.7,Very Good,F,VS2,59.5,58,2812,5.75,5.85,3.45
1.52,Ideal,H,SI1,61.3,56,11797,7.39,7.44,4.54
1.51,Very Good,E,SI1,63.1,58,11565,7.28,7.23,4.58
1.11,Premium,E,VS1,59.8,60,9299,6.75,6.72,4.03
0.53,Very Good,D,SI1,61.2,54,1576,5.23,5.26,3.21
1.03,Ideal,F,VVS2,61.1,57,10049,6.51,6.54,3.99
0.25,Ideal,F,VS1,61.8,56,595,4.07,4.09,2.52
1.55,Ideal,E,VVS2,62.5,55,18188,7.38,7.4,4.62
1.25,Premium,H,VS1,61.3,55,8099,6.96,6.93,4.26
