video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
MXpPRTHo5fs,18.14.01,Rich Brian Goes Sneaker Shopping With Complex,Complex,24,2018-01-08T15:00:02.000Z,2083564,77377,2292,7601,False,False,False
H8bmr4oR19c,18.05.03,SURPRISE MARRIAGE PROPOSAL! Our 5 Year Love Story ♥,Karina Garcia,26,2018-02-24T00:10:25.000Z,2448968,111539,2315,20346,False,False,False
xXf2ct7C2fQ,18.14.04,Burger King | Chocolate Whopper,BURGER KING,24,2018-03-30T15:08:51.000Z,1390848,22572,3321,6411,False,False,False
UBGb8jRjK4k,18.19.01,Local family discovers hidden room after sinkhole opens in garage,East Idaho News,25,2018-01-16T00:48:49.000Z,58452,70,88,46,False,False,False
0l35jAGQPOI,18.20.05,Are we ready to get married?,PewDiePie,24,2018-05-06T17:27:32.000Z,6551270,482810,6756,50803,False,False,False
RlSzahonkTk,17.22.12,Little Mix - Nothing Else Matters (Glory Days Tour),littlemixVEVO,10,2017-12-20T16:00:03.000Z,794261,109579,824,6490,False,False,False
g30Rhk82rmg,18.14.03,Is The Samsung Galaxy S9 Worth The Hype?,Unbox Therapy,1,2018-02-27T20:02:15.000Z,3617347,75945,4023,10393,False,False,False
ySy8mcceTno,18.06.01,SLENDER MAN - Official Trailer (HD),Sony Pictures Entertainment,24,2018-01-03T16:00:17.000Z,4290425,77142,19170,26472,False,False,False
zTY7dvFJbXY,18.05.04,Don Diablo ft. Ansel Elgort - Believe | Lyric Video,Don Diablo,10,2018-04-01T16:16:31.000Z,430469,24959,651,1003,False,False,False
s_LxZx42sIk,18.23.01,What are mini brains? - Madeline Lancaster,TED-Ed,27,2018-01-16T16:00:49.000Z,271594,9074,174,546,False,False,False
aphpJi5jKrM,17.13.12,Women Play Hair Nah: Don't Touch Black Hair,BuzzFeedVideo,22,2017-12-09T01:00:03.000Z,532845,14595,3288,2820,False,False,False
lV3eV9w0h0U,17.18.12,DIY Giant Human Snow Globe!!! - Man Vs Madness,ThreadBanger,26,2017-12-14T22:17:54.000Z,874427,50302,600,3146,False,False,False
6S9c5nnDd_s,18.11.06,Bohemian Rhapsody | Teaser Trailer [HD] | 20th Century FOX,20th Century Fox,1,2018-05-15T13:01:12.000Z,13576077,346586,6913,19926,False,False,False
JANApS0P4z8,17.02.12,Casually Explained: Levels of Wealth,Casually Explained,23,2017-11-25T15:00:03.000Z,2952730,117504,4117,7050,False,False,False
MyEqfBkzESU,17.14.11,EXTREME GOLDEN TAN TRANSFORMATION,John Maclean,26,2017-11-10T20:40:44.000Z,300617,8133,2693,2911,False,False,False
5y0owYFTMno,18.11.06,Ethan Hawke Knows To Seek Knowledge From Masters,The Late Show with Stephen Colbert,24,2018-06-05T07:53:32.000Z,348679,3784,218,400,False,False,False
PjqKPHZJgF0,18.06.01,Lil Wayne - Family Feud feat. Drake (Official Audio) | Dedication 6,Lil Wayne,10,2017-12-29T22:59:01.000Z,5904231,129016,7039,16242,False,False,False
zxwfDlhJIpw,18.16.05,kanye west / charlamagne interview,Kanye West,22,2018-05-01T15:57:06.000Z,8295147,165136,19295,48115,False,False,False
a2Whkq4rClY,18.17.01,Making a Lemon Stun Gun,The Modern Rogue,24,2018-01-12T19:06:42.000Z,169061,6828,99,1356,False,False,False
mNKwe9k55fs,18.23.04,Fahrenheit 451 (2018) Official Trailer ft. Michael B. Jordan & Michael Shannon | HBO,HBO,1,2018-04-05T18:59:40.000Z,1372300,23179,1254,4249,False,False,False
gAcvbGuqG0Q,18.14.02,Cam - Diane (Official Music Video),CamVEVO,10,2018-02-09T08:00:05.000Z,316816,5192,479,291,False,False,False
lEltmPagx6M,18.18.03,DEMI LOVATO - YOU DON'T DO IT FOR ME ANYMORE (FLASHBACK),James Charles,24,2018-03-16T19:03:13.000Z,496129,47459,763,4741,False,False,False
a30K69hUJyo,18.10.06,Jurassic World Meets Parkour in Real Life,devinsupertramp,24,2018-06-01T14:31:42.000Z,1139752,20861,1160,1592,False,False,False
-2RVw2_QyxQ,17.14.11,2017 Champions Showdown: Day 3,Saint Louis Chess Club,27,2017-11-12T02:39:01.000Z,67429,438,23,23,False,False,False
IX6gYfA6l88,18.01.05,What's inside a Microwave Popcorn Bag?,What's Inside?,28,2018-04-29T14:01:19.000Z,610217,9433,1893,3246,False,False,False
ZIbI0ekrrZU,18.08.03,Open Workout 18.2 Standards,CrossFit®,17,2018-03-02T01:10:17.000Z,547596,1955,1565,1130,False,False,False
49wGna0UTB8,18.22.03,Kendall Jenner Asks Herself Some Existential Questions | Vogue,Vogue,24,2018-03-14T15:20:40.000Z,875450,28861,5741,2319,False,False,False
sV7eDd1d7LI,18.13.06,Cooking birthday presents for my wife!,JunsKitchen,26,2018-05-28T10:00:34.000Z,2332378,193847,1229,14064,False,False,False
2DVg-P0mZE4,18.07.05,Amy Schumer Shares Her Experience with Gray-Area Rape | SuperSoul Conversations | OWN,OWN,24,2018-04-26T00:43:45.000Z,275455,2074,664,374,False,False,False
2KuqjW0WtZg,18.06.05,FASHION PHOTO RUVIEW: Mermaid Fantasy with Raja and Aja,WOWPresents,24,2018-05-05T13:00:00.000Z,233063,9104,443,1899,False,False,False
OdJh_Q5XY4U,17.18.12,"MAYWEATHER REVEALS COMEBACK OFFER, FIGHTING IN UFC; POPPIN MAD SH*T: THERE'S ONLY ONE GOAT...ME",FightHype.com,17,2017-12-12T17:24:29.000Z,285672,2370,521,2877,False,False,False
A9QDgSTVhyM,18.13.05,THE BABIES ARE ON FIRE!,CollegeHumor,23,2018-05-08T17:30:00.000Z,500734,25712,1277,1563,False,False,False
2AAUadR6Hjw,18.20.03,The Fiorentina game comes to a halt in the 13th minute as they pay tribute to Davide Astori,BT Sport,17,2018-03-11T13:04:16.000Z,763863,9106,219,490,False,False,False
zFPEOG1Yxvw,18.28.05,"Kilauea volcano lava cuts off key escape route in Hawaii, man injured",CBC News,25,2018-05-20T16:09:06.000Z,1088620,5115,740,2338,False,False,False
wb49-oV0F78,18.08.02,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,Paramount Pictures,1,2018-02-05T00:16:37.000Z,12809426,203997,3741,15521,False,False,False
sNTLwCEiIJ4,18.28.04,"Houston Rockets vs Minnesota Timberwolves - Full Game Highlights  | Game 3 | April 21, 2018 | NBA",Rapid Highlights,17,2018-04-22T02:07:49.000Z,848819,2302,264,645,False,False,False
sV7QeEJ9daI,18.03.03,The French Toast Breakfast Sandwich,ByronTalbott,26,2018-02-27T00:28:41.000Z,83227,3424,161,294,False,False,False
dHCURII_974,18.12.02,Michael Shannon Puts $2.10 in Coins Up His Nose | Secret Talent Theatre | Vanity Fair,Vanity Fair,24,2018-02-06T17:01:05.000Z,22403,823,14,39,False,False,False
4VDylTCCzOY,18.31.05,Adam and Jenna's - Freestyle – Dancing with the Stars,Dancing With The Stars,24,2018-05-22T01:58:34.000Z,325214,2365,404,471,False,False,False
aEM2kOrrNJI,18.03.06,"Jennifer Lopez - Dinero ft. DJ Khaled, Cardi B",JenniferLopezVEVO,10,2018-05-24T12:00:02.000Z,16926499,367517,33277,22594,False,False,False
h_cfN1t3flE,18.02.03,Hmmm...Too Faced Life's a Festival Collection Review | Jackie Aina,Jackie Aina,26,2018-02-16T23:32:15.000Z,839813,48283,1145,3746,False,False,False
GjJKdQTD1bc,18.17.04,John Krasinski Stalked Emily Blunt | The Graham Norton Show,The Graham Norton Show,24,2018-04-06T18:12:00.000Z,2477470,27272,784,1073,False,False,False
rU1lSmDbRZU,18.07.03,2018 Oscars: Keala Settle Cries During Powerful Performance of 'This Is Me',Entertainment Tonight,24,2018-03-05T08:31:35.000Z,391776,3062,685,719,False,False,False
qLaGCduQKGM,18.23.04,Can You Turn Hair to Stone with Hydraulic Press?,Hydraulic Press Channel,28,2018-04-07T14:01:53.000Z,765878,8441,884,1453,False,False,False
FwENtwtY0EI,18.01.04,MASSIVE Bowl of Fruity Pebbles!! (Challenge),Matt Stonie,24,2018-03-23T21:59:59.000Z,3129248,68308,7232,10753,False,False,False
fZwwcwfbmdo,18.24.02,Florida school shooting suspect appears in court,CBS News,25,2018-02-19T19:32:00.000Z,1146622,4782,1090,9618,False,False,False
b2txBXQGjJ8,18.27.04,DO TEENS KNOW 90s MUSIC? #17 (REACT: Do They Know It?),REACT,24,2018-04-22T19:00:05.000Z,892380,19198,902,4221,False,False,False
3y75zBl37f8,18.25.03,Adam Rippon Competes in the Olympics of Eating Spicy Wings | Hot Ones,First We Feast,26,2018-03-15T14:58:52.000Z,1108912,33206,5164,5900,False,False,False
FKiuTRS5R-4,17.23.12,Trump threatens to cut aid over UN Jerusalem vote,Al Jazeera English,25,2017-12-21T04:56:29.000Z,73611,706,97,867,False,False,False
9NC2saE5MbQ,18.08.06,Camels vs. Cactus!!!   جمل,camelsandfriends,15,2018-05-23T13:33:03.000Z,5488988,30298,4429,15150,False,False,False
cpGA0azFdCs,18.21.04,Prince - Nothing Compares 2 U [OFFICIAL VIDEO],Prince,10,2018-04-19T15:01:43.000Z,2204942,38836,1436,4354,False,False,False
VRJmcxCrAOA,18.26.01,Real Life Trick Shots 2 | Dude Perfect,Dude Perfect,17,2018-01-22T22:55:24.000Z,20761480,871930,11595,43026,False,False,False
9SCNLl0MQPM,18.25.03,Apple Announces March 27th Keynote! What To Expect,EverythingApplePro,24,2018-03-16T18:08:05.000Z,670517,17146,577,1950,False,False,False
BIQK4-9YFW0,17.26.12,Five Finger Death Punch - Gone Away (Official Video),5FDPVEVO,10,2017-12-22T05:00:00.000Z,1713617,73508,2023,5456,False,False,False
IJofEhiRpy0,18.07.03,I WORE MY BOYFRIEND'S CLOTHES FOR A WEEK!,Ryland Adams,24,2018-02-28T20:00:00.000Z,2048852,125624,4628,11184,False,False,False
jtVz0qxQM_U,17.29.11,BTS Fans Get the Surprise of a Lifetime,TheEllenShow,24,2017-11-28T19:02:05.000Z,774304,73791,627,6770,False,False,False
w9JrUVI_h4I,18.02.06,Crow - Simon's Cat | SHORTS,Simon's Cat,1,2018-05-27T12:45:00.000Z,832876,35563,885,1618,False,False,False
weebcQPRGUE,18.25.04,"MAINE COON – Characteristics, Character and Care",AnimalWised,15,2018-04-14T21:00:08.000Z,157916,3366,51,363,False,False,False
VwAnsAUYnw4,18.25.02,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",JayRockVEVO,10,2018-02-15T20:00:02.000Z,12898133,367959,13327,26435,False,False,False
Kemqo35m8gk,18.16.04,I Tried Making Kinetic Sand!,DaveHax,26,2018-04-13T14:09:03.000Z,671548,6941,1193,1275,False,False,False
Iay3Wu6wybA,17.03.12,"J. Balvin, Willy William - Mi Gente (Alesso Remix) with Anwar Jibawi",Alesso,10,2017-11-29T22:00:44.000Z,706590,26718,1358,1841,False,False,False
lOEI6hYZe6Y,18.13.01,3 awkward moments from Hoekstra’s Dutch news conference,Washington Post,25,2018-01-11T19:29:28.000Z,14996,132,4,163,False,False,False
JWH5KE1atAg,18.17.01,[STATION] Siedah Garrett X 보아 (BoA) 'Man in the Mirror (LIVE)' Live Performance,SMTOWN,10,2018-01-16T09:00:02.000Z,157009,19969,120,1334,False,False,False
tlILlcCE8Sc,18.05.05,"The Chainsmokers, Drew Love - Somebody (Official Video)",ChainsmokersVEVO,10,2018-04-20T14:00:04.000Z,11913382,308457,5383,8773,False,False,False
ahSKGi_21xg,18.08.03,Mean Tweets – Music Edition #4,Jimmy Kimmel Live,23,2018-03-07T04:55:46.000Z,2005689,32076,854,2081,False,False,False
A2dIL4sf4TQ,18.16.05,Kris Jenner - Introducing My Kris Jenner Collection,Kylie Cosmetics,22,2018-05-10T21:59:06.000Z,1079793,48406,2380,4819,False,False,False
SWUrl7FpkAo,18.03.01,star wars || war pigs,voordeel,24,2017-12-24T18:39:39.000Z,147042,12458,71,661,False,False,False
K62oeVyaC-U,17.29.12,When did you stop believing in Santa? (YIAY #386),jacksfilms,23,2017-12-21T01:17:37.000Z,1217103,68234,670,27435,False,False,False
X-eRc9PF3TU,18.18.05,Set It Up | Official Trailer [HD] | Netflix,Netflix,24,2018-05-15T14:30:09.000Z,1284356,29715,684,849,False,False,False
zS5-hxARjJo,18.06.02,Galaxy Mirror Glaze Cake: Behind Tasty,Tasty,26,2018-02-02T17:00:15.000Z,1398600,34410,837,1550,False,False,False
kqp6RnQHKR4,18.26.04,Vanessa Hudgens Kills and Eats A Rattlesnake! | Running Wild With Bear Grylls,Discovery UK,24,2018-04-16T16:45:01.000Z,953135,11611,643,1753,False,False,False
q20_MVdB31g,18.04.02,Snoke's Throne Room Fight - 16 Bit Scenes,Mr Sunday Movies,24,2018-02-02T13:52:27.000Z,165533,9091,136,873,False,False,False
rWVLhFdOr_M,18.22.01,REPLAY Snowboarding Halfpipe Finals | LAAX Open,Red Bull,17,2018-01-20T18:29:24.000Z,48002,1422,63,19,False,False,False
GpbMbBNP-NI,18.29.03,Sephora Beauty Haul,Nicole Guerriero,26,2018-03-18T23:59:22.000Z,335048,14599,608,1586,False,False,False
5gFpcEKayz4,17.14.11,MØ - When I Was Young (Official Video),MOMOMOYOUTHVEVO,10,2017-11-09T09:00:00.000Z,764716,35765,483,1159,False,False,False
eHIY3HNNqzM,17.14.11,The Script - Arms Open (Acoustic) [Audio],TheScriptVEVO,10,2017-11-10T08:00:03.000Z,135337,7158,89,318,False,False,False
OAGfx7eB3gA,18.06.05,How to pick up a cat like a pro - Vet advice on cat handling.,Helpful Vancouver Vet,15,2018-05-01T23:13:42.000Z,1779960,58994,1381,5712,False,False,False
pwGbwYAfSmg,18.27.05,5 books worth reading this summer,Bill Gates,29,2018-05-21T13:30:33.000Z,250175,8455,126,552,False,False,False
CahQhevkcCM,18.10.06,We Mastered That Shiny Dirt Ball,BuzzFeedVideo,22,2018-06-02T18:00:20.000Z,4063002,98614,12765,9008,False,False,False
yMvpbrJ1CWQ,17.30.12,Sad Larry's Sad New Year - Cyanide & Happiness Shorts,ExplosmEntertainment,23,2017-12-28T06:00:04.000Z,1533966,54324,3156,3707,False,False,False
NRrn5oNLcn0,18.02.05,Ariana Grande - No Tears Left To Cry - Choreography by Jojo Gomez - #TMillyTV,Tim Milgram,24,2018-04-28T19:38:22.000Z,806073,35124,910,617,False,False,False
44NYFvhXmW8,17.14.11,Thirty Seconds To Mars - Walk On Water (Official Music Video),ThirtySecondsToMarsVEVO,10,2017-11-08T13:00:00.000Z,1905487,65854,2442,4490,False,False,False
zkG4Xpz6t68,18.28.01,Shakira - Trap (Official Video) ft. Maluma,shakiraVEVO,10,2018-01-26T14:00:05.000Z,12528777,486767,84159,59337,False,False,False
sYvH7Y16iUM,18.14.05,The True All-Screen Smartphone is Here...,Unbox Therapy,28,2018-05-05T17:57:23.000Z,5099952,135168,5932,13833,False,False,False
EJjh19zO1lk,18.05.06,Zurcaroh: Golden Buzzer Worthy Aerial Dance Group Impresses Tyra Banks - America's Got Talent 2018,America's Got Talent,24,2018-05-30T01:59:01.000Z,2835009,39657,960,2971,False,False,False
-p-PToD2URA,18.23.02,PAZ Mission,SpaceX,28,2018-02-22T14:52:02.000Z,1422146,35854,991,2240,False,False,False
gau41b7_Hqs,18.20.04,How To Prep Before Grilling The Most Powerful Person On The Internet (HBO),VICE News,25,2018-04-12T00:03:56.000Z,277085,2345,340,689,False,False,False
P4YJwy_T9pM,17.14.11,I Picked My Girlfriend's Outfit Blindfolded,Tyler Williams,22,2017-11-09T03:16:36.000Z,691229,31892,197,1404,False,False,False
GOALfmDp_Dg,18.23.02,*SPOILER* 4th Eliminated Queen RuPaul's All Stars 3: Behind the Scenes,WOWPresents,24,2018-02-16T13:00:01.000Z,272661,6596,255,1417,False,False,False
